model,eval_attack,family,accuracy_mean,accuracy_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,n_mean,n_std,n0_mean,n0_std,precision_mean,precision_std,recall_mean,recall_std,sigma_mean,sigma_std,smooth_s_per_sample_mean,smooth_s_per_sample_std
LR,CW_c0.0_it10,CW,0.4373333333333333,0.12903303379183104,0.0,0.0,,,0.1620919939980861,0.09150275116741832,0.5567724867724867,0.13264068158948236,0.5640370222101637,0.1324365606787741,10.0,0.0,200.0,0.0,50.0,0.0,0.10109635434543894,0.0632265554027977,0.44322751322751325,0.13264068158948236,0.2833333333333333,0.1707825127659933,,
LR,CW_c0.5_it10,CW,0.33666666666666667,0.12396235987858034,0.5,0.0,,,0.14932922141260313,0.07530352970779927,0.5174603174603175,0.12389864420437094,0.6822015543268399,0.12334461946073616,10.0,0.0,200.0,0.0,50.0,0.0,0.08946788394881347,0.04902939619879186,0.48253968253968255,0.1238986442043709,0.2833333333333333,0.1707825127659933,,
LR,Clean,,0.8713333333333334,0.03842742076521232,,,,,0.5105814667721993,0.1197638375644326,0.3924691358024691,0.12364171892622154,0.0954942352186605,0.04658811709143973,,,200.0,0.0,50.0,0.0,0.46103110531380165,0.15394161068309642,0.6075308641975308,0.12364171892622151,0.2833333333333333,0.1707825127659933,0.00013322599728898,1.8415829795058453e-05
LR,FGSM_eps0.15,FGSM,0.28099999999999997,0.06951875389315566,,,0.15,0.0,0.17991273594119814,0.039063529648305166,0.28892416225749556,0.08343416536285427,0.7702406346820918,0.07154211765518098,1.0,0.0,200.0,0.0,50.0,0.0,0.10404217746894778,0.02643256308901722,0.7110758377425044,0.08343416536285421,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.3,FGSM,0.19766666666666666,0.04126857446163168,,,0.3,0.0,0.12431623112504547,0.032762755544590405,0.4837742504409171,0.09166398985808857,0.8415784837010809,0.05073396430513517,1.0,0.0,200.0,0.0,50.0,0.0,0.07115372856820647,0.020292501965183746,0.516225749559083,0.09166398985808862,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.5,FGSM,0.16966666666666666,0.015976172734359625,,,0.5,0.0,0.09670672861587813,0.032428212999147665,0.5917460317460318,0.1194873963197738,0.8597108119584259,0.02661640994329378,1.0,0.0,200.0,0.0,50.0,0.0,0.05514048350037403,0.01919594425622063,0.4082539682539682,0.1194873963197738,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.75,FGSM,0.164,0.014167366929471613,,,0.75,0.0,0.09255393009353236,0.02554726734772319,0.606031746031746,0.10606614443320242,0.8639564542938653,0.023287919820537187,1.0,0.0,200.0,0.0,50.0,0.0,0.05270756039280178,0.015078154009675635,0.39396825396825397,0.10606614443320243,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it10,PGD,0.23933333333333331,0.03150207854064476,,,0.15,0.0,0.17170804115391497,0.028749480778497986,0.2829100529100529,0.06162600117129272,0.8194458486204688,0.03265004021955577,10.0,0.0,200.0,0.0,50.0,0.0,0.09808531281956577,0.018936829019553358,0.7170899470899471,0.06162600117129272,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it25,PGD,0.238,0.030868384195761576,,,0.15,0.0,0.17071947955296038,0.02725764501160727,0.28574955908289235,0.06233785444771422,0.8206259905896954,0.03525391987471567,25.0,0.0,200.0,0.0,50.0,0.0,0.09749271084817467,0.018084525569779054,0.7142504409171075,0.062337854447714204,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.3_it10,PGD,0.187,0.013201731488169064,,,0.3,0.0,0.13971483865772533,0.028430098784880703,0.4028042328042328,0.0556533530742472,0.8642678514596783,0.01216957062047132,10.0,0.0,200.0,0.0,50.0,0.0,0.07950366707067076,0.018016201230402363,0.5971957671957672,0.05565335307424724,0.2833333333333333,0.1707825127659933,,
