model,n_samples_mean,n_samples_std,per_sample_ms_mean,per_sample_ms_std,total_s_mean,total_s_std
LR,500.0,0.0,0.00020408630371092,3.7106081599184305e-05,0.00010204315185546218,1.8553040799590472e-05
MLP,500.0,0.0,0.0107467651367187,0.005699424180075714,0.00537338256835934,0.0028497120900378378
RF,500.0,0.0,0.01156949996948238,0.0012127266899511914,0.00578474998474118,0.000606363344975609
SVM,500.0,0.0,0.00012102127075192,3.980947773910784e-06,6.0510635375976565e-05,1.9904738869420812e-06
