model,attack,accuracy_mean,accuracy_std,asr_mean,asr_std,elapsed_s_mean,elapsed_s_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,median_queries_success_mean,median_queries_success_std,n_eligible_mean,n_eligible_std,n_samples_mean,n_samples_std,numerical_stagnation_mean,numerical_stagnation_std,precision_mean,precision_std,query_budget_exhausted_mean,query_budget_exhausted_std,recall_mean,recall_std
LR,HopSkipJump_whitebox,0.10700000000000001,0.01987460691435179,1.0,0.0,1.6324371337890624,0.14123572414945743,0.11286415255757472,0.0302778208609928,0.47819883040935673,0.13482746505666757,0.9437976336305878,0.01018882737362087,556.6,0.5477225575051505,178.6,3.9749213828703565,200.0,0.0,0.0,0.0,0.0635814274580607,0.01767756291685442,0.0,0.0,0.5218011695906433,0.13482746505666762
RF,HopSkipJump_whitebox,0.251,0.081117199162693,0.8158944387189759,0.0944115239747341,45.03221459388733,2.9303632723006467,0.07557922204218867,0.029875134751978553,0.7158830409356726,0.1266420521136832,0.7540315920673412,0.09245310529060619,570.3,1.9235384061671472,182.2,3.898717737923586,200.0,0.0,0.0,0.0,0.04378243122695234,0.017343276806018607,0.0,0.0,0.28411695906432743,0.1266420521136832
SVM,HopSkipJump_whitebox,0.10300000000000001,0.017535677916750182,1.0,0.0,1.5878794193267822,0.026378434543945055,0.11766485684401062,0.029453008738669736,0.45047953216374265,0.13893500250169633,0.9516218094547636,0.0029249799561287884,556.5,0.5,179.4,3.507135583350036,200.0,0.0,0.0,0.0,0.0662095042517734,0.01719573500625156,0.0,0.0,0.5495204678362573,0.13893500250169633
