model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
LR,CW_c0.0_it10,CW,0.40484068627450975,0.12545041220339273,0.4991421568627451,0.13308271285666265,0.0,0.0,,,0.15134257789446598,0.06964786092790175,0.5970660146699267,0.14986797831868304,0.5948861646234676,0.12787409424151808,10.0,0.0,0.09365067249405402,0.0455126188622395,0.40293398533007335,0.149867978318683
LR,CW_c0.5_it10,CW,0.2854779411764705,0.11807758617404801,0.6301470588235294,0.12862948488573095,0.5,0.0,,,0.1455394994011166,0.05219938286103881,0.5276283618581907,0.14477548706552312,0.7412959719789842,0.12313704181750156,10.0,0.0,0.08628151707209344,0.032205655792961675,0.4723716381418093,0.1447754870655231
LR,FGSM_eps0.15,FGSM,0.26335784313725485,0.0808645372721572,0.6613970588235294,0.08668350945518268,,,0.15,0.0,0.18889732255647043,0.01697862715427084,0.31931540342298287,0.05627722428888164,0.7964273204903678,0.09576415300592177,1.0,0.0,0.10985035678694095,0.011279750078552543,0.6806845965770172,0.05627722428888162
LR,FGSM_eps0.3,FGSM,0.1856617647058823,0.04293808815221784,0.7417892156862745,0.048899496689682055,,,0.3,0.0,0.12511756919848807,0.03169322727659925,0.5281173594132029,0.151579382911504,0.8553415061295973,0.0648198952082741,1.0,0.0,0.07217971884408511,0.017504042088714675,0.471882640586797,0.15157938291150402
LR,FGSM_eps0.5,FGSM,0.16421568627450972,0.019277139971494352,0.7639705882352941,0.02411076047712462,,,0.5,0.0,0.10938952432636968,0.031645185131882796,0.584841075794621,0.1414653108279836,0.8717338003502627,0.03899841290130101,1.0,0.0,0.06301805291222659,0.017732927919154078,0.415158924205379,0.14146531082798364
LR,FGSM_eps0.75,FGSM,0.15949754901960783,0.020539074929907503,0.7692401960784314,0.02466004047029792,,,0.75,0.0,0.10193843201188228,0.025943052431866932,0.615158924205379,0.11522094063587789,0.8727845884413309,0.03802439965548857,1.0,0.0,0.05876925892940058,0.014548720008204393,0.384841075794621,0.11522094063587789
LR,PGD_eps0.15_it10,PGD,0.22781862745098036,0.02312818527581118,0.6987132352941177,0.02664877673136902,,,0.15,0.0,0.18676895260238374,0.009675826708400096,0.2924205378973105,0.039936463548352875,0.8409106830122592,0.02728049522098995,10.0,0.0,0.10759401101917605,0.005626649616507898,0.7075794621026895,0.03993646354835286
LR,PGD_eps0.15_it25,PGD,0.22855392156862742,0.022956485080517407,0.6981617647058823,0.026405332714822354,,,0.15,0.0,0.18744140946275234,0.009741544363549421,0.28997555012224935,0.03974891454742413,0.8404203152364274,0.026939049916475784,25.0,0.0,0.10798340549310532,0.005670482173078699,0.7100244498777506,0.03974891454742415
LR,PGD_eps0.3_it10,PGD,0.17800245098039214,0.011559221495045003,0.7507965686274509,0.012303823919618755,,,0.3,0.0,0.14279372628952075,0.032555947306006215,0.4503667481662591,0.14135962769318908,0.8752364273204905,0.013925750633714356,10.0,0.0,0.08206545670026084,0.01835164699225278,0.5496332518337408,0.14135962769318905
LR,PGD_eps0.3_it25,PGD,0.17898284313725482,0.011624809702526502,0.7497549019607843,0.01160460597892015,,,0.3,0.0,0.14446414050728093,0.03302086324708583,0.443520782396088,0.14279230992267242,0.8750963222416812,0.01325595079594917,25.0,0.0,0.08301570275993114,0.018625885462211215,0.556479217603912,0.14279230992267244
LR,PGD_eps0.5_it10,PGD,0.15618872549019602,0.006059674174056916,0.772671568627451,0.007155619310126655,,,0.5,0.0,0.11244837729295853,0.036410135146182264,0.5682151589242054,0.16157836336023532,0.8832924693520141,0.023367273848034723,10.0,0.0,0.06465969039909747,0.02046039670784048,0.4317848410757946,0.16157836336023537
LR,PGD_eps0.5_it25,PGD,0.15857843137254898,0.004237476814220592,0.770281862745098,0.00639504536903458,,,0.5,0.0,0.11570137628773332,0.036113959065964804,0.5555012224938876,0.16037889809119976,0.882381786339755,0.02317749430353504,25.0,0.0,0.06652446294577356,0.020288775802473274,0.4444987775061125,0.1603788980911998
LR,PGD_eps0.75_it10,PGD,0.14797794117647053,0.013340405059483602,0.7813725490196078,0.014887625429576466,,,0.75,0.0,0.09524724203895366,0.019645407958156374,0.6400977995110024,0.08613855368712774,0.882381786339755,0.024669785267025266,10.0,0.0,0.05489545230911008,0.011055019528350848,0.3599022004889975,0.08613855368712774
LR,PGD_eps0.75_it25,PGD,0.1488357843137254,0.013414780165679296,0.7803921568627451,0.014813041458656044,,,0.75,0.0,0.09776525180132596,0.01654291434094731,0.630317848410758,0.07345957530692003,0.8828021015761822,0.024521641015228766,25.0,0.0,0.05633927497608926,0.009286302145186956,0.369682151589242,0.07345957530692
MLP,CW_c0.0_it10,CW,0.14264705882352938,0.01769099200092352,0.8566176470588236,0.017678253593342703,0.0,0.0,,,0.07684527935083998,0.010574090360803992,0.7144254278728607,0.04601516359847324,0.8778283712784589,0.02515120312629406,10.0,0.0,0.0444011202612192,0.005954042895007065,0.2855745721271393,0.04601516359847323
MLP,CW_c0.5_it10,CW,0.1404411764705882,0.017625876618662623,0.859497549019608,0.017611225789619395,0.5,0.0,,,0.07713634506546732,0.010408018293688648,0.7124694376528117,0.04595666559157746,0.880630472854641,0.025530042263164538,10.0,0.0,0.04454838754084346,0.0058442091518626175,0.2875305623471882,0.04595666559157744
MLP,FGSM_eps0.15,FGSM,0.2618259803921569,0.07489151471692598,0.7362745098039216,0.0755729856616289,,,0.15,0.0,0.17141578016328463,0.042760251218934654,0.39755501222493883,0.12292721620380652,0.7869702276707531,0.06961306984594633,1.0,0.0,0.09996844007260525,0.025719643524895062,0.6024449877750611,0.12292721620380653
MLP,FGSM_eps0.3,FGSM,0.16360294117647053,0.02279646473526506,0.8356004901960784,0.022581963892305122,,,0.3,0.0,0.10605497737585892,0.02592954410710476,0.6024449877750611,0.10397093107058662,0.8699124343257443,0.02600048860786041,1.0,0.0,0.06119683941458733,0.014808211455114894,0.39755501222493883,0.10397093107058662
MLP,FGSM_eps0.5,FGSM,0.14644607843137253,0.017075975730825657,0.8533088235294117,0.017335651507019243,,,0.5,0.0,0.08535229906506804,0.011865677519248564,0.6811735941320294,0.052285021709823444,0.8782486865148862,0.025476164101446586,1.0,0.0,0.04927744261501556,0.0066657869103915485,0.3188264058679706,0.05228502170982338
MLP,FGSM_eps0.75,FGSM,0.14534313725490192,0.015395944585941687,0.8544730392156863,0.015330877454898006,,,0.75,0.0,0.08247375319676933,0.012543880551550673,0.6924205378973105,0.05432606583594959,0.8778984238178633,0.023849520529655378,1.0,0.0,0.0476269098044291,0.007065498027145175,0.3075794621026895,0.05432606583594954
MLP,PGD_eps0.15_it10,PGD,0.23909313725490194,0.06950120529692902,0.7592524509803922,0.06987020609222813,,,0.15,0.0,0.15569345730847814,0.04392019335734586,0.4454767726161369,0.1367598617447187,0.8060945709281961,0.062030425971829686,10.0,0.0,0.09058861649572152,0.026104734755333446,0.5545232273838631,0.13675986174471874
MLP,PGD_eps0.15_it25,PGD,0.24031862745098037,0.07056937703396252,0.7580269607843138,0.07093745262960649,,,0.15,0.0,0.15596406866829554,0.04401393187165445,0.4454767726161369,0.13591581263214722,0.8046935201401052,0.06324041251469106,25.0,0.0,0.0907732408084089,0.026192369551674848,0.5545232273838631,0.13591581263214722
MLP,PGD_eps0.3_it10,PGD,0.15226715686274503,0.01766098902124061,0.8470588235294118,0.01775428260713136,,,0.3,0.0,0.09217939437105502,0.019111537422953028,0.6552567237163814,0.07833505791491831,0.8753064798598948,0.023594034300013104,10.0,0.0,0.05320849935210452,0.010873656410400154,0.34474327628361856,0.07833505791491832
MLP,PGD_eps0.3_it25,PGD,0.15226715686274503,0.01733917058435176,0.8470588235294118,0.017436878114431714,,,0.3,0.0,0.09217167121580576,0.018651524326467453,0.6552567237163813,0.0769491686154338,0.8753064798598948,0.02387317159277676,25.0,0.0,0.053203605587220856,0.010600703774973037,0.34474327628361856,0.07694916861543384
MLP,PGD_eps0.5_it10,PGD,0.14375,0.017046266877553694,0.8561274509803921,0.017204121275300518,,,0.5,0.0,0.0815954735115857,0.012769445792454722,0.6953545232273839,0.05566308807125965,0.8792994746059545,0.02571104753024558,10.0,0.0,0.04711233543374862,0.007187030334217978,0.3046454767726161,0.0556630880712596
