accuracy,precision,recall,f1,fpr,fnr,model,seed
0.8933823529411765,0.575682382133995,0.5672371638141809,0.5714285714285714,0.0598949211908931,0.432762836185819,LR,42
0.9022671568627452,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.0486865148861646,0.4400977995110024,SVM,42
0.9126838235294118,0.6324786324786325,0.7237163814180929,0.6750285062713797,0.0602451838879159,0.2762836185819071,RF,42
0.8526348039215687,0.4484240687679083,0.7652811735941321,0.5654923215898826,0.1348511383537653,0.2347188264058679,MLP,42
0.8826593137254902,0.5318627450980392,0.530562347188264,0.5312117503059975,0.0669001751313485,0.4694376528117359,LR,7
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,SVM,7
0.9111519607843136,0.6313465783664459,0.6992665036674817,0.6635730858468677,0.0584938704028021,0.3007334963325183,RF,7
0.8428308823529411,0.4295392953929539,0.7750611246943765,0.5527462946817786,0.1474605954465849,0.2249388753056234,MLP,7
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,123
0.8924632352941176,0.5810055865921788,0.508557457212714,0.5423728813559322,0.052539404553415,0.491442542787286,SVM,123
0.9111519607843136,0.64,0.6650366748166259,0.6522781774580336,0.0535901926444833,0.334963325183374,RF,123
0.8881740196078431,0.5436507936507936,0.6699266503667481,0.6002190580503833,0.0805604203152364,0.3300733496332518,MLP,123
0.8881740196078431,0.5607734806629834,0.4963325183374083,0.5265888456549935,0.0556917688266199,0.5036674816625917,LR,31
0.8924632352941176,0.5857988165680473,0.4841075794621027,0.5301204819277109,0.0490367775831873,0.5158924205378973,SVM,31
0.9154411764705882,0.6501128668171557,0.7041564792176039,0.676056338028169,0.0542907180385289,0.295843520782396,RF,31
0.8661151960784313,0.4772727272727273,0.7188264058679706,0.5736585365853658,0.112784588441331,0.2811735941320293,MLP,31
0.8765318627450981,0.5075757575757576,0.491442542787286,0.4993788819875776,0.0683012259194395,0.508557457212714,LR,99
0.8869485294117647,0.5558659217877095,0.4865525672371638,0.5189048239895697,0.0556917688266199,0.5134474327628362,SVM,99
0.9099264705882352,0.639225181598063,0.6454767726161369,0.6423357664233577,0.0521891418563922,0.3545232273838631,RF,99
0.8560049019607843,0.4504065040650406,0.6772616136919315,0.541015625,0.1183887915936952,0.3227383863080684,MLP,99
