accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr
0.16942401960784315,0.08387563268257411,0.5672371638141809,0.14614173228346455,0.8875656742556918,0.43276283618581907,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,LR,0.3,0.7604166666666666
0.13694852941176472,0.04736842105263158,0.3080684596577017,0.08211143695014662,0.8875656742556918,0.6919315403422983,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,SVM,0.3,0.7956495098039216
0.8572303921568627,0.22857142857142856,0.05867970660146699,0.0933852140077821,0.028371278458844133,0.941320293398533,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,RF,0.3,0.10631127450980392
0.14705882352941177,0.059369202226345084,0.39119804400978,0.10309278350515463,0.8879159369527145,0.60880195599022,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,LR,0.5,0.7827818627450981
0.13664215686274508,0.04701015419330575,0.3056234718826406,0.08148631029986962,0.8875656742556918,0.6943765281173594,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,SVM,0.5,0.7959558823529411
0.6510416666666666,0.07949308755760369,0.1687041564792176,0.10806577916992952,0.2798598949211909,0.8312958435207825,submitted,"[32, 12]",12,0.8661151960784313,5.7117674350738525,RF,0.5,0.30361519607843135
0.19148284313725492,0.08302169035153328,0.5427872860635696,0.1440155692507298,0.8588441330998249,0.4572127139364303,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,LR,0.3,0.7306985294117647
0.1256127450980392,0.040240691989469723,0.2616136919315403,0.0697522816166884,0.8938704028021016,0.7383863080684596,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,SVM,0.3,0.7987132352941176
0.8590686274509803,0.2,0.04156479217603912,0.06882591093117409,0.023817863397548163,0.9584352078239609,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,RF,0.3,0.10416666666666667
0.15349264705882354,0.05247148288973384,0.3374083129584352,0.09081934846989141,0.8728546409807355,0.6625916870415648,longer,"[32, 12]",50,0.8805147058823529,24.342942476272583,LR,0.5,0.7693014705882353
