accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.9240196078431373,0.6716417910447762,0.7701711491442543,0.7175398633257403,0.05394045534150613,0.22982885085574573,XGB,clean,0.0,0.21678686141967773,,,,,,,,,,,
0.7405024509803921,0.20081967213114754,0.3594132029339853,0.25766871165644173,0.20490367775831875,0.6405867970660146,XGB,FGSM_eps0.15,0.23100490196078433,0.21678686141967773,FGSM,0.15,1.0,,,,,,,,
0.6099877450980392,0.1014760147601476,0.26894865525672373,0.14735432016075017,0.34115586690017513,0.7310513447432763,XGB,FGSM_eps0.3,0.36090686274509803,0.21678686141967773,FGSM,0.3,1.0,,,,,,,,
0.3333333333333333,0.0645638245441104,0.3202933985330073,0.10746513535684987,0.6647985989492119,0.6797066014669927,XGB,FGSM_eps0.5,0.6372549019607843,0.21678686141967773,FGSM,0.5,1.0,,,,,,,,
0.14522058823529413,0.05261180007515971,0.3422982885085575,0.09120521172638436,0.8830122591943957,0.6577017114914425,XGB,FGSM_eps0.75,0.819546568627451,0.21678686141967773,FGSM,0.75,1.0,,,,,,,,
0.7827818627450981,0.25728155339805825,0.38875305623471884,0.30963972736124634,0.1607705779334501,0.6112469437652812,XGB,PGD_eps0.15_it10,0.19056372549019607,0.21678686141967773,PGD,0.15,10.0,,,,,,,,
0.7735906862745098,0.2537313432835821,0.4156479217603912,0.31510658016682114,0.17513134851138354,0.5843520782396088,XGB,PGD_eps0.15_it25,0.19883578431372548,0.21678686141967773,PGD,0.15,25.0,,,,,,,,
0.7104779411764706,0.16666666666666666,0.3276283618581907,0.22093981863149217,0.23467600700525393,0.6723716381418093,XGB,PGD_eps0.3_it10,0.2604166666666667,0.21678686141967773,PGD,0.3,10.0,,,,,,,,
0.6969975490196079,0.16970387243735763,0.3643031784841076,0.23154623154623155,0.2553415061295972,0.6356968215158925,XGB,PGD_eps0.3_it25,0.27512254901960786,0.21678686141967773,PGD,0.3,25.0,,,,,,,,
0.3544730392156863,0.0746492985971944,0.3643031784841076,0.12390852390852392,0.6469352014010508,0.6356968215158925,XGB,PGD_eps0.5_it10,0.609375,0.21678686141967773,PGD,0.5,10.0,,,,,,,,
0.3440563725490196,0.07879377431906615,0.3960880195599022,0.13144016227180527,0.6633975481611208,0.6039119804400978,XGB,PGD_eps0.5_it25,0.6197916666666666,0.21678686141967773,PGD,0.5,25.0,,,,,,,,
0.22916666666666666,0.06049228201919066,0.3545232273838631,0.10334996436208126,0.7887915936952714,0.6454767726161369,XGB,PGD_eps0.75_it10,0.7401960784313726,0.21678686141967773,PGD,0.75,10.0,,,,,,,,
0.24540441176470587,0.05732758620689655,0.3251833740831296,0.09747160131916453,0.7660245183887916,0.6748166259168704,XGB,PGD_eps0.75_it25,0.7242647058823529,0.21678686141967773,PGD,0.75,25.0,,,,,,,,
0.7879901960784313,0.27140549273021003,0.41075794621026895,0.32684824902723736,0.15796847635726796,0.589242053789731,XGB,CW_c0.0_it10,0.171875,0.21678686141967773,CW,,10.0,0.0,,,,,,,
0.8017769607843137,0.26848249027237353,0.3374083129584352,0.2990249187432286,0.1316987740805604,0.6625916870415648,XGB,CW_c0.5_it10,0.16697303921568626,0.21678686141967773,CW,,10.0,0.5,,,,,,,
