model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,143,1.0,0.285,0.21134139597415924,228.0,0,0,0.8214306831359863
LR,10,200,2000,200,143,1.0,0.285,0.1780964434146881,557.0,0,0,1.4561936855316162
LR,20,500,10000,200,143,1.0,0.285,0.16362160444259644,1437.0,0,0,2.7441635131835938
LR,40,1000,40000,200,143,1.0,0.285,0.15508006513118744,3824.0,0,0,5.582826375961304
SVM,5,100,500,200,142,1.0,0.29,0.11267280578613281,228.0,0,0,0.8485550880432129
SVM,10,200,2000,200,142,1.0,0.29,0.09529856592416763,557.0,0,0,1.5352091789245605
SVM,20,500,10000,200,142,1.0,0.29,0.08751560002565384,1437.0,0,0,2.9580636024475098
SVM,40,1000,40000,200,142,1.0,0.29,0.08286707103252411,3824.0,0,0,5.723063230514526
RF,5,100,500,200,164,0.9512195121951219,0.195,1.8013149499893188,232.0,0,0,26.937628030776978
RF,10,200,2000,200,164,0.9512195121951219,0.195,0.9205090403556824,564.0,0,0,46.62208151817322
RF,20,500,10000,200,164,0.9512195121951219,0.195,0.5152196288108826,1451.0,0,0,88.03521275520325
RF,40,1000,40000,200,164,0.9451219512195121,0.2,0.3053455650806427,3849.0,0,1,172.75663876533508
