model,n_samples,total_s,per_sample_ms
LR,500,0.00010228157043457031,0.00020456314086914062
SVM,500,6.604194641113281e-05,0.00013208389282226562
RF,500,0.004032611846923828,0.008065223693847656
MLP,500,0.010250329971313477,0.020500659942626953
