model,n_samples,total_s,per_sample_ms
LR,500,0.00010347366333007812,0.00020694732666015625
SVM,500,6.818771362304688e-05,0.00013637542724609375
RF,500,0.00413060188293457,0.00826120376586914
MLP,500,0.009995222091674805,0.01999044418334961
