accuracy,precision,recall,f1,fpr,fnr,model,config,search_budget,best_params,cv_f1_macro,fit_s
0.8952205882352942,0.5835411471321695,0.5721271393643031,0.5777777777777777,0.0584938704028021,0.4278728606356968,LR,tuned,12,"{'class_weight': None, 'C': 0.1}",0.6960402733667994,0.23604440689086914
0.8933823529411765,0.575682382133995,0.5672371638141809,0.5714285714285714,0.05989492119089317,0.43276283618581907,LR,as_submitted,0,{'max_iter': 500},,0.04734492301940918
0.9022671568627451,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.04868651488616462,0.4400977995110024,SVM,tuned,12,"{'class_weight': None, 'C': 10.0}",0.6954850161876749,8.519224882125854
0.9022671568627451,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.04868651488616462,0.4400977995110024,SVM,as_submitted,0,{'max_iter': 500},,1.5805377960205078
0.9338235294117647,0.7188208616780045,0.7750611246943765,0.7458823529411764,0.043432574430823115,0.22493887530562348,RF,tuned,12,"{'n_estimators': 50, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",0.9397376958410858,12.11499547958374
0.9126838235294118,0.6324786324786325,0.7237163814180929,0.6750285062713797,0.060245183887915936,0.2762836185819071,RF,as_submitted,0,{'n_estimators': 50},,1.3869738578796387
