model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,143,1.0,0.285,0.20972216129302979,228.0,0,0,0.815201997756958
LR,10,200,2000,200,143,1.0,0.285,0.18982841074466705,557.0,0,0,1.458479404449463
LR,20,500,10000,200,143,1.0,0.285,0.17892685532569885,1437.0,0,0,2.7235703468322754
LR,40,1000,40000,200,143,1.0,0.285,0.17207595705986023,3824.0,0,0,5.4805989265441895
SVM,5,100,500,200,143,1.0,0.285,0.1183413565158844,227.0,0,0,0.8638210296630859
SVM,10,200,2000,200,143,1.0,0.285,0.11127479374408722,556.0,0,0,1.5212516784667969
SVM,20,500,10000,200,143,1.0,0.285,0.107450932264328,1436.0,0,0,2.907226085662842
SVM,40,1000,40000,200,143,1.0,0.285,0.10477205365896225,3823.0,0,0,5.547009706497192
RF,5,100,500,200,154,0.8116883116883117,0.32,1.2477093935012817,230.0,0,1,24.786015272140503
RF,10,200,2000,200,154,0.8116883116883117,0.32,0.7611802816390991,563.0,0,1,42.372750997543335
RF,20,500,10000,200,154,0.8116883116883117,0.32,0.5207762718200684,1447.0,0,1,78.92904853820801
RF,40,1000,40000,200,154,0.8116883116883117,0.32,0.3993394374847412,3838.0,0,1,149.61025547981262
