accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.88,0.3888888888888889,0.35,0.3684210526315789,0.06111111111111111,0.65,LR,0.1,Clean,0.00014985084533691406,50,200,,,,
0.225,0.07547169811320754,0.6,0.1340782122905028,0.8166666666666667,0.4,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.16,0.05952380952380952,0.5,0.10638297872340426,0.8777777777777778,0.5,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.155,0.05389221556886228,0.45,0.0962566844919786,0.8777777777777778,0.55,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.155,0.05389221556886228,0.45,0.0962566844919786,0.8777777777777778,0.55,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.205,0.08383233532934131,0.7,0.1497326203208556,0.85,0.3,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.21,0.08433734939759036,0.7,0.15053763440860216,0.8444444444444444,0.3,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.175,0.07602339181286549,0.65,0.13612565445026178,0.8777777777777778,0.35,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.175,0.07602339181286549,0.65,0.13612565445026178,0.8777777777777778,0.35,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.155,0.05389221556886228,0.45,0.0962566844919786,0.8777777777777778,0.55,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.16,0.05952380952380952,0.5,0.10638297872340426,0.8777777777777778,0.5,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.155,0.05917159763313609,0.5,0.10582010582010581,0.8833333333333333,0.5,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.535,0.0898876404494382,0.4,0.14678899082568808,0.45,0.6,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.38,0.07377049180327869,0.45,0.1267605633802817,0.6277777777777778,0.55,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.89,0.4375,0.35,0.3888888888888889,0.05,0.65,SVM,0.1,Clean,0.0001464247703552246,50,200,,,,
0.16,0.05952380952380952,0.5,0.10638297872340426,0.8777777777777778,0.5,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.155,0.05389221556886228,0.45,0.0962566844919786,0.8777777777777778,0.55,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.16,0.05952380952380952,0.5,0.10638297872340426,0.8777777777777778,0.5,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.165,0.0650887573964497,0.55,0.1164021164021164,0.8777777777777778,0.45,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.325,0.04,0.25,0.06896551724137931,0.6666666666666666,0.75,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.21,0.046052631578947366,0.35,0.08139534883720931,0.8055555555555556,0.65,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.92,0.8333333333333334,0.25,0.38461538461538464,0.005555555555555556,0.75,RF,0.1,Clean,0.004584188461303711,50,200,,,,
0.895,0.3333333333333333,0.05,0.08695652173913043,0.011111111111111112,0.95,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.865,0.1111111111111111,0.05,0.06896551724137931,0.044444444444444446,0.95,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.54,0.05,0.2,0.08,0.4222222222222222,0.8,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.16,0.04878048780487805,0.4,0.08695652173913043,0.8666666666666667,0.6,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.9,0.5,0.05,0.09090909090909091,0.005555555555555556,0.95,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.895,0.0,0.0,0.0,0.005555555555555556,1.0,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.88,0.0,0.0,0.0,0.022222222222222223,1.0,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.885,0.2,0.05,0.08,0.022222222222222223,0.95,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.695,0.09803921568627451,0.25,0.14084507042253522,0.25555555555555554,0.75,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.7,0.06521739130434782,0.15,0.09090909090909091,0.2388888888888889,0.85,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.33,0.06153846153846154,0.4,0.10666666666666667,0.6777777777777778,0.6,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.345,0.04132231404958678,0.25,0.07092198581560284,0.6444444444444445,0.75,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.895,0.0,0.0,0.0,0.005555555555555556,1.0,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.895,0.0,0.0,0.0,0.005555555555555556,1.0,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.885,0.4444444444444444,0.6,0.5106382978723404,0.08333333333333333,0.4,MLP,0.1,Clean,0.0017976009845733644,50,200,,,,
0.18,0.06626506024096386,0.55,0.11827956989247312,0.8611111111111112,0.45,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.16,0.05952380952380952,0.5,0.10638297872340426,0.8777777777777778,0.5,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.155,0.05389221556886228,0.45,0.0962566844919786,0.8777777777777778,0.55,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.165,0.0650887573964497,0.55,0.1164021164021164,0.8777777777777778,0.45,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.17,0.06547619047619048,0.55,0.11702127659574468,0.8722222222222222,0.45,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.5,0.07446808510638298,0.35,0.12280701754385964,0.48333333333333334,0.65,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.15,0.04819277108433735,0.4,0.08602150537634409,0.8777777777777778,0.6,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.87,0.36363636363636365,0.4,0.38095238095238093,0.07777777777777778,0.6,LR,0.25,Clean,0.00017934441566467286,50,200,,,,
