accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.2708333333333333,0.11698406529343179,0.7359413202933985,0.20187793427230047,0.7957968476357268,0.26405867970660146,LR,FGSM_eps0.15,0.6525735294117647,FGSM,0.15,1,
0.13878676470588236,0.07830056179775281,0.5452322738386308,0.13693583051888242,0.9194395796847635,0.4547677261613692,SVM,FGSM_eps0.15,0.7977941176470589,FGSM,0.15,1,
0.8541666666666666,0.15463917525773196,0.03667481662591687,0.05928853754940711,0.0287215411558669,0.9633251833740831,RF,FGSM_eps0.15,0.10447303921568628,FGSM,0.15,1,
0.25857843137254904,0.10178217821782178,0.628361858190709,0.17518745739604635,0.7943957968476357,0.37163814180929094,MLP,FGSM_eps0.15,0.7401960784313726,FGSM,0.15,1,
0.16973039215686275,0.10121317157712305,0.7139364303178484,0.17729204614450517,0.908231173380035,0.2860635696821516,LR,FGSM_eps0.3,0.7604166666666666,FGSM,0.3,1,
0.12009803921568628,0.05749191519942508,0.39119804400978,0.10025062656641603,0.918739054290718,0.60880195599022,SVM,FGSM_eps0.3,0.8174019607843137,FGSM,0.3,1,
0.8265931372549019,0.07567567567567568,0.034229828850855744,0.04713804713804714,0.05989492119089317,0.9657701711491442,RF,FGSM_eps0.3,0.1323529411764706,FGSM,0.3,1,
0.13633578431372548,0.06372194062273714,0.43031784841075793,0.11100599180069379,0.9057793345008757,0.5696821515892421,MLP,FGSM_eps0.3,0.8630514705882353,FGSM,0.3,1,
0.15226715686274508,0.09034051424600417,0.6356968215158925,0.15819896562214786,0.9169877408056042,0.3643031784841076,LR,FGSM_eps0.5,0.7787990196078431,FGSM,0.5,1,
0.11948529411764706,0.0568140956490471,0.3863080684596577,0.09905956112852665,0.918739054290718,0.6136919315403423,SVM,FGSM_eps0.5,0.8180147058823529,FGSM,0.5,1,
0.765625,0.05721393034825871,0.05623471882640587,0.05672009864364982,0.13274956217162873,0.9437652811735942,RF,FGSM_eps0.5,0.1948529411764706,FGSM,0.5,1,
0.11979166666666667,0.054591467823571944,0.3691931540342298,0.09511811023622047,0.9159369527145359,0.6308068459657702,MLP,FGSM_eps0.5,0.8802083333333334,FGSM,0.5,1,
0.140625,0.07935393258426966,0.5525672371638142,0.13877801657967453,0.9183887915936952,0.4474327628361858,LR,FGSM_eps0.75,0.7904411764705882,FGSM,0.75,1,
0.11764705882352941,0.05445366029570862,0.3691931540342298,0.09490886235072282,0.9183887915936952,0.6308068459657702,SVM,FGSM_eps0.75,0.8201593137254902,FGSM,0.75,1,
0.2824754901960784,0.05522319374137138,0.293398533007335,0.09295120061967467,0.7190893169877408,0.706601466992665,RF,FGSM_eps0.75,0.6755514705882353,FGSM,0.75,1,
0.12162990196078431,0.05309090909090909,0.3569682151589242,0.09243431465653688,0.9120840630472855,0.6430317848410758,MLP,FGSM_eps0.75,0.8780637254901961,FGSM,0.75,1,
0.25796568627450983,0.11657142857142858,0.7481662591687042,0.2017139090309822,0.8122591943957969,0.25183374083129584,LR,PGD_eps0.15_it10,0.6675857843137255,PGD,0.15,10,
0.14399509803921567,0.08376963350785341,0.58679706601467,0.14660965180207697,0.9194395796847635,0.4132029339853301,SVM,PGD_eps0.15_it10,0.7925857843137255,PGD,0.15,10,
0.8618259803921569,0.3055555555555556,0.08068459657701711,0.1276595744680851,0.02626970227670753,0.9193154034229829,RF,PGD_eps0.15_it10,0.09712009803921569,PGD,0.15,10,
0.22028186274509803,0.09174311926605505,0.58679706601467,0.15867768595041323,0.8322241681260946,0.4132029339853301,MLP,PGD_eps0.15_it10,0.7784926470588235,PGD,0.15,10,
0.25857843137254904,0.11724400456794823,0.7530562347188264,0.2028985507246377,0.8122591943957969,0.2469437652811736,LR,PGD_eps0.15_it25,0.6675857843137255,PGD,0.15,25,
0.14307598039215685,0.08280922431865828,0.5794621026894865,0.14490981351268725,0.9194395796847635,0.42053789731051344,SVM,PGD_eps0.15_it25,0.7935049019607843,PGD,0.15,25,
0.8642769607843137,0.3333333333333333,0.08312958435207823,0.13307240704500978,0.023817863397548163,0.9168704156479217,RF,PGD_eps0.15_it25,0.09466911764705882,PGD,0.15,25,
0.22150735294117646,0.09157088122605364,0.5843520782396088,0.15833057303742962,0.8304728546409808,0.4156479217603912,MLP,PGD_eps0.15_it25,0.7772671568627451,PGD,0.15,25,
0.19791666666666666,0.11095456146530469,0.7701711491442543,0.1939655172413793,0.8840630472854641,0.22982885085574573,LR,PGD_eps0.3_it10,0.7328431372549019,PGD,0.3,10,
0.11764705882352941,0.055095426719481456,0.3740831295843521,0.096045197740113,0.9190893169877408,0.6259168704156479,SVM,PGD_eps0.3_it10,0.819546568627451,PGD,0.3,10,
0.8207720588235294,0.05102040816326531,0.02444987775061125,0.03305785123966942,0.06514886164623468,0.9755501222493888,RF,PGD_eps0.3_it10,0.13817401960784315,PGD,0.3,10,
0.12806372549019607,0.05771324863883848,0.38875305623471884,0.10050568900126422,0.9092819614711033,0.6112469437652812,MLP,PGD_eps0.3_it10,0.8713235294117647,PGD,0.3,10,
