model,n_samples,total_s,per_sample_ms
LR,500,9.298324584960938e-05,0.00018596649169921875
SVM,500,5.7697296142578125e-05,0.00011539459228515625
RF,500,0.005801200866699219,0.011602401733398438
MLP,500,0.006947040557861328,0.013894081115722656
