model,n_samples,total_s,per_sample_ms
LR,500,8.869171142578125e-05,0.0001773834228515625
SVM,500,6.4849853515625e-05,0.00012969970703125
RF,500,0.004178047180175781,0.008356094360351562
MLP,500,0.011298418045043945,0.02259683609008789
