accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.9016086616598356,0.9660155471397249,0.902822192554876,0.9333504517661408,0.1023,0.09717780744512404,LR,PGD_eps0.15_it10,0.007605013148854509,PGD,0.15,10,
0.9031012343339099,0.959746247670122,0.9112359899406998,0.9348622392100653,0.1231,0.0887640100593002,SVM,PGD_eps0.15_it10,0.013883295031865242,PGD,0.15,10,
0.1564832144803241,0.26895331427793656,0.06134931230401441,0.09990898978663161,0.5371,0.9386506876959856,RF,PGD_eps0.15_it10,0.8430666445544789,PGD,0.15,10,
0.06406216683645669,0.18622054016858766,0.06721723741811295,0.09877951408691685,0.9461,0.9327827625818871,MLP,PGD_eps0.15_it10,0.9358193750148073,PGD,0.15,10,
0.9020824942547798,0.9630252655188337,0.9064857648483343,0.9339005549602571,0.1121,0.09351423515166568,LR,PGD_eps0.15_it25,0.00914496908242318,PGD,0.15,25,
0.905257172640906,0.9576573653471772,0.9163587817069763,0.9365530152786813,0.1305,0.08364121829302369,SVM,PGD_eps0.15_it25,0.012532872136274254,PGD,0.15,25,
0.15698073870501553,0.23441435768261965,0.046229314787792235,0.07722828764814191,0.4863,0.9537706852122078,RF,PGD_eps0.15_it25,0.8425691203297875,PGD,0.15,25,
0.06174038712123007,0.17930256766134628,0.06417460958117296,0.09451951436998422,0.9461,0.9358253904188271,MLP,PGD_eps0.15_it25,0.938164846359781,PGD,0.15,25,
0.8510033405197943,0.9487223876462849,0.8507249526529852,0.8970552127154573,0.1481,0.1492750473470148,LR,PGD_eps0.3_it10,0.06726053685233008,PGD,0.3,10,
0.7171456324480561,0.8750370041444642,0.7341736781644882,0.7984400587510341,0.3377,0.2658263218355118,SVM,PGD_eps0.3_it10,0.2105001303039636,PGD,0.3,10,
0.1643251439266507,0.23998642226748132,0.043900773075848366,0.0742237736542348,0.4478,0.9560992269241516,RF,PGD_eps0.3_it10,0.8352010234784051,PGD,0.3,10,
0.04660143571276268,0.13648293963254593,0.04681921202148468,0.06972120763789356,0.9541,0.9531807879785154,MLP,PGD_eps0.3_it10,0.9533511810277429,PGD,0.3,10,
0.88857826529887,0.9470484982447016,0.9045608370331274,0.9253171994346784,0.1629,0.09543916296687262,LR,PGD_eps0.3_it25,0.03155725082328413,PGD,0.3,25,
0.7757587244426544,0.8982908377696834,0.7962991710391506,0.8442257369036059,0.2904,0.20370082896084946,SVM,PGD_eps0.3_it25,0.1539482100973726,PGD,0.3,25,
0.16306948755004858,0.20432555492316448,0.033437858983513924,0.057470651013874066,0.4194,0.9665621410164861,RF,PGD_eps0.3_it25,0.83643298822526,PGD,0.3,25,
0.04771494231088157,0.1401405912040375,0.04827843149430283,0.07181618750721626,0.9541,0.9517215685056971,MLP,PGD_eps0.3_it25,0.952237674429624,PGD,0.3,25,
0.7306972446634604,0.890914547227849,0.7373715421155578,0.8069036981670545,0.2908,0.2626284578844422,LR,PGD_eps0.5_it10,0.19033855338908764,PGD,0.5,10,
0.5008173612262787,0.7982009958772822,0.46285199788878884,0.585937192941084,0.3769,0.5371480021112112,SVM,PGD_eps0.5_it10,0.4290554147219787,PGD,0.5,10,
0.16792627164822668,0.16544117647058823,0.02235400043466112,0.03938623122999918,0.3632,0.9776459995653389,RF,PGD_eps0.5_it10,0.831481437608093,PGD,0.5,10,
0.039114880712644226,0.13236459709379128,0.04666397590735509,0.06900192819759435,0.9852,0.953336024092645,MLP,PGD_eps0.5_it10,0.9608377360278614,PGD,0.5,10,
0.7700727333033239,0.9029220081644346,0.7828557235555279,0.8386131204789224,0.2711,0.21714427644447204,LR,PGD_eps0.5_it25,0.15276362861001208,PGD,0.5,25,
0.47004193418465257,0.7718832891246684,0.43366760843242574,0.5553324719212802,0.4128,0.5663323915675743,SVM,PGD_eps0.5_it25,0.46492454215925516,PGD,0.5,25,
0.16498850955957262,0.1281234688878001,0.01623769753795523,0.02882257308974677,0.3559,0.9837623024620448,RF,PGD_eps0.5_it25,0.8344191996967472,PGD,0.5,25,
0.03913857234239143,0.1323762550642945,0.04666397590735509,0.06900351215481028,0.9851,0.953336024092645,MLP,PGD_eps0.5_it25,0.9608377360278614,PGD,0.5,25,
0.7043758440143097,0.8899252993952809,0.6990592691483747,0.7830290384280995,0.2785,0.3009407308516253,LR,PGD_eps0.75_it10,0.20822573384823143,PGD,0.75,10,
0.4387926745480822,0.753706901685226,0.39296469930764694,0.5165911595445084,0.4136,0.6070353006923531,SVM,PGD_eps0.75_it10,0.48980075339382595,PGD,0.75,10,
0.17401502049325973,0.14684756584197925,0.01713806699990686,0.03069395017793594,0.3207,0.9828619330000932,RF,PGD_eps0.75_it10,0.8252979222440712,PGD,0.75,10,
0.0390674974531498,0.1323412873117901,0.04666397590735509,0.06899876050130836,0.9854,0.953336024092645,MLP,PGD_eps0.75_it10,0.960908810917103,PGD,0.75,10,
0.5314743301191689,0.8415847024561789,0.4755192648017635,0.6076813204253293,0.2883,0.5244807351982366,LR,PGD_eps0.75_it25,0.3860787983605392,PGD,0.75,25,
0.43803454239617146,0.7652978311144446,0.3801421962805427,0.5079654829074013,0.3755,0.6198578037194573,SVM,PGD_eps0.75_it25,0.4935677225236324,PGD,0.75,25,
0.17685801606292498,0.07308858201414618,0.006737247353224254,0.012337256239695265,0.2752,0.9932627526467758,RF,PGD_eps0.75_it25,0.8223838517851643,PGD,0.75,25,
0.0390674974531498,0.1323412873117901,0.04666397590735509,0.06899876050130836,0.9854,0.953336024092645,MLP,PGD_eps0.75_it25,0.960908810917103,PGD,0.75,25,
0.9035276836693596,0.968684412166439,0.9027600981092241,0.934561115932247,0.094,0.09723990189077587,LR,CW_c0.0_it10,0.00033168281646094434,CW,,10,0.0
0.9033381506313819,0.9689573538728286,0.9022322953211835,0.9344051446945337,0.0931,0.09776770467881649,SVM,CW_c0.0_it10,0.0008528986708995712,CW,,10,0.0
0.16742874742353525,0.28398880542053323,0.05985904560837033,0.09887686548028105,0.4861,0.9401409543916297,RF,CW_c0.0_it10,0.8320737283517733,CW,,10,0.0
0.04207633443104551,0.13898156277436347,0.04914775373342854,0.07261634441156907,0.9807,0.9508522462665715,MLP,CW_c0.0_it10,0.9576867492714823,CW,,10,0.0
0.9037645999668317,0.9686948413094881,0.9030705703374833,0.934732309274375,0.094,0.09692942966251669,LR,CW_c0.5_it10,0.00040275770570257527,CW,,10,0.5
0.9033381506313819,0.9689260827526422,0.9022633425440094,0.9344072537860519,0.0932,0.09773665745599056,SVM,CW_c0.5_it10,0.0008528986708995712,CW,,10,0.5
0.16181383117344642,0.27298768261243195,0.05917600670620013,0.09726722972110943,0.5076,0.9408239932937998,RF,CW_c0.5_it10,0.8376886446018622,CW,,10,0.5
0.03885427278542491,0.13184780694028536,0.046477692570399576,0.06872804903243579,0.9857,0.9535223074296004,MLP,CW_c0.5_it10,0.9611457272145751,CW,,10,0.5
