model,n_samples,total_s,per_sample_ms
LR,500,0.00012636184692382812,0.00025272369384765625
SVM,500,6.222724914550781e-05,0.00012445449829101562
RF,500,0.006781339645385742,0.013562679290771484
MLP,500,0.0041120052337646484,0.008224010467529297
