accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.875,0.3870967741935484,0.6666666666666666,0.4897959183673469,0.1043956043956044,0.3333333333333333,LR,0.1,Clean,0.0001233208179473877,50,200,,,,
0.2,0.0872093023255814,0.8333333333333334,0.15789473684210525,0.8626373626373627,0.16666666666666666,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.17,0.05952380952380952,0.5555555555555556,0.10752688172043011,0.8681318681318682,0.4444444444444444,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.19,0.08139534883720931,0.7777777777777778,0.14736842105263157,0.8681318681318682,0.2222222222222222,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.185,0.08092485549132948,0.7777777777777778,0.14659685863874344,0.8736263736263736,0.2222222222222222,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.17,0.06470588235294118,0.6111111111111112,0.11702127659574468,0.8736263736263736,0.3888888888888889,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.165,0.05917159763313609,0.5555555555555556,0.10695187165775401,0.8736263736263736,0.4444444444444444,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.14,0.03614457831325301,0.3333333333333333,0.06521739130434782,0.8791208791208791,0.6666666666666666,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.145,0.041916167664670656,0.3888888888888889,0.07567567567567568,0.8791208791208791,0.6111111111111112,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.14,0.03614457831325301,0.3333333333333333,0.06521739130434782,0.8791208791208791,0.6666666666666666,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.145,0.03636363636363636,0.3333333333333333,0.06557377049180328,0.8736263736263736,0.6666666666666666,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.23,0.04054054054054054,0.3333333333333333,0.07228915662650602,0.7802197802197802,0.6666666666666666,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.135,0.03592814371257485,0.3333333333333333,0.06486486486486487,0.8846153846153846,0.6666666666666666,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.88,0.4,0.6666666666666666,0.5,0.0989010989010989,0.3333333333333333,SVM,0.1,Clean,0.00011850357055664063,50,200,,,,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.15,0.036585365853658534,0.3333333333333333,0.06593406593406594,0.8681318681318682,0.6666666666666666,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
