accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.8740808823529411,0.4978540772532189,0.5672371638141809,0.5302857142857142,0.0819614711033275,0.43276283618581907,MLP,FGSM,0.3,FGSM_eps0.15,7.6822755336761475,FGSM,0.15,1,,
0.7947303921568627,0.33073929961089493,0.6234718826405868,0.4322033898305085,0.1807355516637478,0.3765281173594132,MLP,FGSM,0.3,FGSM_eps0.3,7.6822755336761475,FGSM,0.3,1,,
0.7310049019607843,0.24812030075187969,0.5647921760391198,0.3447761194029851,0.24518388791593695,0.4352078239608802,MLP,FGSM,0.3,FGSM_eps0.5,7.6822755336761475,FGSM,0.5,1,,
0.5986519607843137,0.13581244947453516,0.41075794621026895,0.20413122721749696,0.374430823117338,0.589242053789731,MLP,FGSM,0.3,FGSM_eps0.75,7.6822755336761475,FGSM,0.75,1,,
0.8596813725490197,0.4540337711069418,0.5916870415647921,0.5138004246284501,0.10192644483362522,0.4083129584352078,MLP,FGSM,0.3,PGD_eps0.15_it10,7.6822755336761475,PGD,0.15,10,,
0.8581495098039216,0.4484732824427481,0.5745721271393643,0.5037513397642015,0.10122591943957969,0.4254278728606357,MLP,FGSM,0.3,PGD_eps0.15_it25,7.6822755336761475,PGD,0.15,25,,
0.7772671568627451,0.3197278911564626,0.6894865525672371,0.43687064291247096,0.21015761821366025,0.3105134474327628,MLP,FGSM,0.3,PGD_eps0.3_it10,7.6822755336761475,PGD,0.3,10,,
0.7757352941176471,0.3171007927519819,0.684596577017115,0.43343653250773995,0.21120840630472854,0.3154034229828851,MLP,FGSM,0.3,PGD_eps0.3_it25,7.6822755336761475,PGD,0.3,25,,
0.7138480392156863,0.23776223776223776,0.5819070904645477,0.3375886524822695,0.26725043782837127,0.4180929095354523,MLP,FGSM,0.3,PGD_eps0.5_it10,7.6822755336761475,PGD,0.5,10,,
0.710171568627451,0.23069207622868607,0.5623471882640587,0.32716927453769556,0.2686514886164623,0.43765281173594134,MLP,FGSM,0.3,PGD_eps0.5_it25,7.6822755336761475,PGD,0.5,25,,
