model,n_samples,total_s,per_sample_ms
LR,500,8.58306884765625e-05,0.000171661376953125
SVM,500,6.67572021484375e-05,0.000133514404296875
RF,500,0.004052400588989258,0.008104801177978516
MLP,500,0.005760908126831055,0.01152181625366211
