attack,epsilon,adv_accuracy,asr
PGD_nonadaptive,0.15,0.9677705955413723,0.020724730968332685
PGD_adaptive,0.15,0.967480485571562,0.025765391693788928
PGD_nonadaptive,0.3,0.9601370769607355,0.027442589956755484
PGD_adaptive,0.3,0.9608170222024787,0.033698086180792904
PGD_nonadaptive,0.5,0.8238035230229459,0.16445608913628823
PGD_adaptive,0.5,0.7007696980136533,0.2957308504755084
