attack,epsilon,adv_accuracy,asr
PGD_nonadaptive,0.15,0.990870601887528,0.000770604607308958
PGD_adaptive,0.15,0.9917771955431856,0.002475000679945242
PGD_nonadaptive,0.3,0.989501645467485,0.0037986274172053342
PGD_adaptive,0.3,0.9887219749236195,0.007198353625921325
PGD_nonadaptive,0.5,0.8401856703806787,0.15171844827429898
PGD_adaptive,0.5,0.819823576874609,0.17664977380488292
