accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s
0.4865688149914327,0.4157975949771204,0.3106971751187802,0.35564506035885357,0.3659833333333333,0.6893028248812199,LR,FGSM_direct,0.15,0.5109471183920655,0.5790860056877136,0.3699185848236084
0.4865688149914327,0.4157975949771204,0.3106971751187802,0.35564506035885357,0.3659833333333333,0.6893028248812199,LR,PGD_direct,0.15,0.5109471183920655,0.5790860056877136,3.4401042461395264
0.1355901471401503,0.17482891051370159,0.24072122935013815,0.20255091372893405,0.95255,0.7592787706498618,LR,FGSM_direct,0.3,0.8628595777086752,1.1581679582595825,0.3773965835571289
0.1355901471401503,0.17482891051370159,0.24072122935013815,0.20255091372893405,0.95255,0.7592787706498618,LR,PGD_direct,0.3,0.8628595777086752,1.158168077468872,3.443539619445801
0.08873738701576567,0.12003208523776372,0.15766455280997158,0.13629840947953634,0.96905,0.8423354471900284,LR,FGSM_direct,0.5,0.9111447558089989,1.9302726984024048,0.37517452239990234
0.08873738701576567,0.12003208523776372,0.15766455280997158,0.13629840947953634,0.96905,0.8423354471900284,LR,PGD_direct,0.5,0.9111447558089989,1.9302726984024048,3.4496519565582275
0.08579095763487847,0.11616107912685512,0.15201876627636524,0.13169269981228582,0.9697333333333333,0.8479812337236348,LR,FGSM_direct,0.75,0.9141909104920084,2.895386219024658,0.3741765022277832
0.08579095763487847,0.11616107912685512,0.15201876627636524,0.13169269981228582,0.9697333333333333,0.8479812337236348,LR,PGD_direct,0.75,0.9141909104920084,2.8954057693481445,3.439279317855835
0.2483613319673989,0.2433525920561704,0.3072977754805876,0.2716123137475401,0.80105,0.6927022245194123,SVM,FGSM_direct,0.15,0.7500974588179832,0.5809467434883118,0.4441657066345215
0.2483613319673989,0.2433525920561704,0.3072977754805876,0.2716123137475401,0.80105,0.6927022245194123,SVM,PGD_direct,0.15,0.7500974588179832,0.5809467434883118,4.142618179321289
0.10118491790794448,0.14344328120665237,0.19529650319066458,0.1654011280410809,0.9777166666666667,0.8047034968093354,SVM,FGSM_direct,0.3,0.8984071149470096,1.1618921756744385,0.4439249038696289
0.10118491790794448,0.14344328120665237,0.19529650319066458,0.1654011280410809,0.9777166666666667,0.8047034968093354,SVM,PGD_direct,0.3,0.8984071149470096,1.1618921756744385,4.135590553283691
0.08642557319383878,0.12280072350030644,0.16331033934357791,0.1401877133105802,0.9780333333333333,0.836689660656422,SVM,FGSM_direct,0.5,0.9135018993137086,1.9364837408065796,0.44227147102355957
0.08642557319383878,0.12280072350030644,0.16331033934357791,0.1401877133105802,0.9780333333333333,0.836689660656422,SVM,PGD_direct,0.5,0.9135018993137086,1.9364837408065796,4.138099431991577
0.08434947372238288,0.11985602879424115,0.15887720414289405,0.13663523759862545,0.9781333333333333,0.8411227958571059,SVM,FGSM_direct,0.75,0.9156505262776171,2.9047186374664307,0.43848419189453125
0.08434947372238288,0.11985602879424115,0.15887720414289405,0.13663523759862545,0.9781333333333333,0.8411227958571059,SVM,PGD_direct,0.75,0.9156505262776171,2.9047186374664307,4.130892992019653
