model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
LR,FGSM_eps0.15,5944,5940,0.9956228956228956,0.9956258411843876,FGSM,0.15,1,Botnet Ares,
LR,FGSM_eps0.15,51,51,0.0,0.0,FGSM,0.15,1,Botnet Ares - Attempted,
LR,FGSM_eps0.15,6072,6072,0.0,0.0,FGSM,0.15,1,DDoS-HOIC,
LR,FGSM_eps0.15,6058,0,,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,
LR,FGSM_eps0.15,526,505,0.0039603960396039604,0.043726235741444866,FGSM,0.15,1,DDoS-LOIC-UDP,
LR,FGSM_eps0.15,59,0,,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,
LR,FGSM_eps0.15,4496,4496,0.0,0.0,FGSM,0.15,1,DoS GoldenEye,
LR,FGSM_eps0.15,873,873,0.0,0.0,FGSM,0.15,1,DoS GoldenEye - Attempted,
LR,FGSM_eps0.15,6080,6080,0.0029605263157894738,0.0029605263157894738,FGSM,0.15,1,DoS Hulk,
LR,FGSM_eps0.15,17,17,0.0,0.0,FGSM,0.15,1,DoS Hulk - Attempted,
LR,FGSM_eps0.15,1774,1718,0.32188591385331783,0.3432919954904171,FGSM,0.15,1,DoS Slowloris,
LR,FGSM_eps0.15,451,440,0.0,0.024390243902439025,FGSM,0.15,1,DoS Slowloris - Attempted,
LR,FGSM_eps0.15,5862,5862,0.0,0.0,FGSM,0.15,1,FTP-BruteForce - Attempted,
LR,FGSM_eps0.15,40,38,0.6578947368421053,0.625,FGSM,0.15,1,Infiltration - Communication Victim Attacker,
LR,FGSM_eps0.15,15,0,,0.6,FGSM,0.15,1,Infiltration - Dropbox Download,
LR,FGSM_eps0.15,8,0,,0.75,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,
LR,FGSM_eps0.15,5945,5141,0.3450690527134799,0.42523128679562655,FGSM,0.15,1,Infiltration - NMAP Portscan,
LR,FGSM_eps0.15,5952,5952,0.0,0.0,FGSM,0.15,1,SSH-BruteForce,
LR,FGSM_eps0.15,23,0,,1.0,FGSM,0.15,1,Web Attack - Brute Force,
LR,FGSM_eps0.15,24,1,1.0,0.9583333333333334,FGSM,0.15,1,Web Attack - Brute Force - Attempted,
LR,FGSM_eps0.15,8,0,,0.875,FGSM,0.15,1,Web Attack - SQL,
LR,FGSM_eps0.15,2,1,1.0,1.0,FGSM,0.15,1,Web Attack - SQL - Attempted,
LR,FGSM_eps0.15,22,0,,1.0,FGSM,0.15,1,Web Attack - XSS,
LR,FGSM_eps0.15,1,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,
SVM,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
SVM,FGSM_eps0.15,5944,5941,0.9956236323851203,0.9956258411843876,FGSM,0.15,1,Botnet Ares,
SVM,FGSM_eps0.15,51,51,0.0196078431372549,0.0196078431372549,FGSM,0.15,1,Botnet Ares - Attempted,
SVM,FGSM_eps0.15,6072,6072,1.0,1.0,FGSM,0.15,1,DDoS-HOIC,
SVM,FGSM_eps0.15,6058,0,,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,
SVM,FGSM_eps0.15,526,505,0.0,0.039923954372623575,FGSM,0.15,1,DDoS-LOIC-UDP,
SVM,FGSM_eps0.15,59,0,,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,
SVM,FGSM_eps0.15,4496,4496,0.0,0.0,FGSM,0.15,1,DoS GoldenEye,
SVM,FGSM_eps0.15,873,873,0.0,0.0,FGSM,0.15,1,DoS GoldenEye - Attempted,
SVM,FGSM_eps0.15,6080,6080,0.0029605263157894738,0.0029605263157894738,FGSM,0.15,1,DoS Hulk,
SVM,FGSM_eps0.15,17,17,0.6470588235294118,0.6470588235294118,FGSM,0.15,1,DoS Hulk - Attempted,
SVM,FGSM_eps0.15,1774,1718,0.3242142025611176,0.3455467869222097,FGSM,0.15,1,DoS Slowloris,
SVM,FGSM_eps0.15,451,440,0.0,0.024390243902439025,FGSM,0.15,1,DoS Slowloris - Attempted,
SVM,FGSM_eps0.15,5862,5862,0.0,0.0,FGSM,0.15,1,FTP-BruteForce - Attempted,
SVM,FGSM_eps0.15,40,40,0.025,0.025,FGSM,0.15,1,Infiltration - Communication Victim Attacker,
SVM,FGSM_eps0.15,15,0,,0.06666666666666667,FGSM,0.15,1,Infiltration - Dropbox Download,
SVM,FGSM_eps0.15,8,0,,0.5,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,
SVM,FGSM_eps0.15,5945,4785,0.36698014629049114,0.4819175777964676,FGSM,0.15,1,Infiltration - NMAP Portscan,
SVM,FGSM_eps0.15,5952,5952,0.0,0.0,FGSM,0.15,1,SSH-BruteForce,
SVM,FGSM_eps0.15,23,0,,0.9565217391304348,FGSM,0.15,1,Web Attack - Brute Force,
SVM,FGSM_eps0.15,24,1,1.0,0.9583333333333334,FGSM,0.15,1,Web Attack - Brute Force - Attempted,
SVM,FGSM_eps0.15,8,0,,0.875,FGSM,0.15,1,Web Attack - SQL,
SVM,FGSM_eps0.15,2,0,,1.0,FGSM,0.15,1,Web Attack - SQL - Attempted,
SVM,FGSM_eps0.15,22,0,,1.0,FGSM,0.15,1,Web Attack - XSS,
