dataset,oversample,applicable,note
CSECICIDS2018,smote,False,minority-to-majority ratio above the 0.75 threshold; no oversampling is applied under any scheme
CSECICIDS2018,smotenc,False,minority-to-majority ratio above the 0.75 threshold; no oversampling is applied under any scheme
CSECICIDS2018,none,False,minority-to-majority ratio above the 0.75 threshold; no oversampling is applied under any scheme
