model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,184,1.0,0.08,0.33785271644592285,228.0,0,0,1.2005820274353027
LR,10,200,2000,200,184,1.0,0.08,0.2983194887638092,557.0,0,0,2.097301721572876
LR,20,500,10000,200,184,1.0,0.08,0.2775207459926605,1437.0,0,0,3.916445255279541
LR,40,1000,40000,200,184,1.0,0.08,0.26437827944755554,3824.0,0,0,7.523301362991333
SVM,5,100,500,200,184,1.0,0.08,0.29660114645957947,227.0,0,0,1.1641123294830322
SVM,10,200,2000,200,184,1.0,0.08,0.26190516352653503,556.0,0,0,2.062889575958252
SVM,20,500,10000,200,184,1.0,0.08,0.24486464262008667,1436.0,0,0,3.8605213165283203
SVM,40,1000,40000,200,184,1.0,0.08,0.23354347050189972,3823.0,0,0,7.526524543762207
RF,5,100,500,200,200,0.995,0.005,0.8913921117782593,231.0,0,0,36.27715849876404
RF,10,200,2000,200,200,0.995,0.005,0.4119871258735657,563.0,0,0,64.31900024414062
RF,20,500,10000,200,200,0.995,0.005,0.25003498792648315,1450.0,0,0,120.29742932319641
RF,40,1000,40000,200,200,0.995,0.005,0.10204201936721802,3848.0,0,0,202.2350857257843
