accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s
0.9262304742391413,0.9739456883373797,0.8612806393256863,0.9141548946585503,0.019316666666666666,0.13871936067431365,MLP,FGSM,0.3,FGSM_eps0.15,138.38934326171875,FGSM,0.15,1,,
0.8444103968160431,0.935252554437761,0.7078305468858717,0.8058026116278544,0.04108333333333333,0.2921694531141284,MLP,FGSM,0.3,FGSM_eps0.3,138.38934326171875,FGSM,0.3,1,,
0.7374776751312294,0.7674535157620408,0.6088304872472815,0.6790009865977896,0.15466666666666667,0.39116951275271855,MLP,FGSM,0.3,FGSM_eps0.5,138.38934326171875,FGSM,0.5,1,,
0.5675820240609957,0.5396796394421097,0.3523050315090551,0.42631192792966166,0.25193333333333334,0.6476949684909449,MLP,FGSM,0.3,FGSM_eps0.75,138.38934326171875,FGSM,0.75,1,,
0.9382337742400478,0.9825573654076606,0.8801860724012485,0.9285586955381954,0.0131,0.11981392759875156,MLP,FGSM,0.3,PGD_eps0.15_it10,138.38934326171875,PGD,0.15,10,,
0.9707442227319293,0.9836641597830107,0.9516529829234837,0.9673938303913346,0.01325,0.04834701707651631,MLP,FGSM,0.3,PGD_eps0.15_it25,138.38934326171875,PGD,0.15,25,,
0.9013535443278968,0.9397617241533176,0.837365564678051,0.8856136662286466,0.045,0.162634435321949,MLP,FGSM,0.3,PGD_eps0.3_it10,138.38934326171875,PGD,0.3,10,,
0.8388892414530883,0.9121522323012213,0.7156432021947001,0.8020363377112366,0.05778333333333333,0.2843567978052999,MLP,FGSM,0.3,PGD_eps0.3_it25,138.38934326171875,PGD,0.3,25,,
0.8223439072373372,0.915352360340863,0.6726437787010715,0.7754503368932484,0.05215,0.3273562212989285,MLP,FGSM,0.3,PGD_eps0.5_it10,138.38934326171875,PGD,0.5,10,,
0.7726988386535271,0.8480233937487931,0.6110967536727432,0.7103244292448471,0.09181666666666667,0.3889032463272568,MLP,FGSM,0.3,PGD_eps0.5_it25,138.38934326171875,PGD,0.5,25,,
0.7435971823069182,0.768647065999756,0.6262648350992982,0.6901892910349663,0.15803333333333333,0.37373516490070174,MLP,FGSM,0.3,PGD_eps0.75_it10,138.38934326171875,PGD,0.75,10,,
0.7641677923537891,0.8084836169672339,0.6327654414249647,0.7099126827473152,0.12566666666666668,0.3672345585750353,MLP,FGSM,0.3,PGD_eps0.75_it25,138.38934326171875,PGD,0.75,25,,
0.9921398330054486,0.9935308681415222,0.9892054151839851,0.9913634235508582,0.0054,0.01079458481601495,MLP,FGSM,0.3,CW_c0.0_it10,138.38934326171875,CW,,10,0.0,
0.9918043933528553,0.9933289392214433,0.9886686678726915,0.9909933246986151,0.005566666666666667,0.01133133212730851,MLP,FGSM,0.3,CW_c0.5_it10,138.38934326171875,CW,,10,0.5,
0.9969085156342076,0.9966401590457257,0.9965807208317595,0.9966104390525133,0.0028166666666666665,0.0034192791682404627,MLP,FGSM,0.3,Clean,138.38934326171875,Clean,0.0,0,,
0.9761021912368657,0.9705621038914884,0.9772379380951435,0.9738885807116253,0.02485,0.022762061904856568,LR,FGSM,0.3,Clean,,Clean,0.0,0,,1.3730154037475586
0.8028158798944725,0.8397144556811422,0.7015287358606842,0.7644268260982584,0.11226666666666667,0.29847126413931574,LR,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,1.3730154037475586
0.5610636156768175,0.5232635549966713,0.42188338667673897,0.46713625357693156,0.32225,0.578116613323261,LR,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,1.3730154037475586
0.4821174401421539,0.42615887587416373,0.391288789933006,0.40798010156492903,0.4417333333333333,0.608711210066994,LR,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,1.3730154037475586
0.3513231734404323,0.2400919855171739,0.19509770789018546,0.21526886673466478,0.5177,0.8049022921098146,LR,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,1.3730154037475586
0.87071067876667,0.8638107158719264,0.8506053316899589,0.8571571661808748,0.11243333333333333,0.14939466831004114,LR,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,1.3730154037475586
0.899640082318704,0.8925262631315658,0.8867065582569628,0.8896068928379106,0.08951666666666666,0.1132934417430372,LR,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,1.3730154037475586
0.7458817983191753,0.737740964498431,0.6869967993956623,0.7114652173017931,0.20475,0.31300320060433773,LR,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,1.3730154037475586
0.7334433333635532,0.7153632148377125,0.6900781265530883,0.7024932205447849,0.2302,0.3099218734469117,LR,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,1.3730154037475586
0.6658658422708358,0.6274283115061691,0.6581118422360496,0.6424038965323191,0.32763333333333333,0.3418881577639505,LR,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,1.3730154037475586
0.6358666582051259,0.5978533647349523,0.6156690455837625,0.6066304294598698,0.3472,0.3843309544162376,LR,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,1.3730154037475586
0.5739281796505988,0.5302116460138173,0.5767051666898595,0.5524819791081444,0.4284,0.42329483331014056,LR,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,1.3730154037475586
0.4998776098564862,0.45983676975945015,0.5533069598234698,0.5022601979590547,0.5449166666666667,0.4466930401765302,LR,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,1.3730154037475586
0.9111084920627726,0.8724296487033291,0.9429656282925472,0.9063273241428067,0.1156,0.05703437170745283,LR,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,1.3730154037475586
0.9078538208389618,0.8681058674639129,0.9408981571675645,0.9030374723345799,0.11985,0.05910184283243544,LR,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,1.3730154037475586
0.9738538389708349,0.9671730606293472,0.975786732401646,0.9714608031349575,0.027766666666666665,0.024213267598353974,SVM,FGSM,0.3,Clean,,Clean,0.0,0,,6.602036714553833
0.8578551807294452,0.8623425007325547,0.8190565175039262,0.8401423313383836,0.10961666666666667,0.18094348249607378,SVM,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,6.602036714553833
0.554445481990517,0.5141827453480105,0.4169333836948095,0.46047951521538666,0.33026666666666665,0.5830666163051905,SVM,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,6.602036714553833
0.40401439670725187,0.2972255793179549,0.22489712343200208,0.2560516041419114,0.4458166666666667,0.7751028765679979,SVM,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,6.602036714553833
0.3457204246484683,0.22931418667987125,0.18412420730373935,0.2042495010640292,0.5188,0.8158757926962606,SVM,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,6.602036714553833
0.8641016110169261,0.849239472278814,0.8535276226070015,0.8513781479278207,0.12703333333333333,0.14647237739299843,SVM,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,6.602036714553833
0.8797040878307933,0.8613073170731708,0.8775222153748286,0.8693391628016898,0.11846666666666666,0.12247778462517146,SVM,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,6.602036714553833
0.7172243728638387,0.6906852376581395,0.6880901735482973,0.6893852634514076,0.25835,0.3119098264517027,SVM,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,6.602036714553833
0.7135798663680951,0.6797655649500385,0.7032383754448045,0.6913027759592743,0.27775,0.2967616245551955,SVM,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,6.602036714553833
