model,n_samples,total_s,per_sample_ms
LR,500,9.918212890625e-05,0.0001983642578125
SVM,500,6.818771362304688e-05,0.00013637542724609375
RF,500,0.0039958953857421875,0.007991790771484375
MLP,500,0.008849620819091797,0.017699241638183594
