,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,n_train,n_train,n_test,n_test,test_attack_rate,test_attack_rate,asr,asr,iters,iters,confidence,confidence
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.39347826743908443,0.1646739787141519,0.20043706592132382,0.20619318133034928,0.1382128193760814,0.19428240910925523,0.15028512599562457,0.18959326733425563,0.42026775578928116,0.2410753482119074,0.8617871806239186,0.19428240910925518,441209.0,0.0,110303.0,0.0,0.42643899077994246,0.03024155137603899,0.4730073071448646,0.20114195082335742,12.0,10.112411659204612,,
0.3,0.2537767180705269,0.21037451829004927,0.15404047463084355,0.1999283721586376,0.1277369963435089,0.21514115850589347,0.1079253403174904,0.15588039575111648,0.6596048816842274,0.37142303493155576,0.872263003656491,0.2151411585058934,441209.0,0.0,110303.0,0.0,0.42643899077994246,0.03024155137603899,0.6245482141615973,0.25481913385220895,12.0,10.112411659204612,,
0.5,0.2086155106086567,0.1965532200821427,0.09548263281531143,0.1304738178848897,0.08631058545653798,0.14924630993384377,0.07539776989090442,0.1123043694274229,0.7082752363559844,0.3553137082338621,0.913689414543462,0.14924630993384372,441209.0,0.0,110303.0,0.0,0.42643899077994246,0.03024155137603899,0.6585239446494353,0.2501072875028393,12.0,10.112411659204612,,
0.75,0.18324184292358317,0.21287309551205627,0.0752592689449655,0.0826988388939461,0.07156736708641367,0.11912209336345697,0.061865251045588786,0.09344022666068884,0.7389969337915158,0.3846860698050647,0.9284326329135864,0.11912209336345692,441209.0,0.0,110303.0,0.0,0.42643899077994246,0.03024155137603899,0.6839965821419182,0.26048446275362147,12.0,10.112411659204612,,
,0.5361821527972948,0.35214302821078985,0.5380247230482461,0.3992540457598627,0.379135830134486,0.39137466988385844,0.4051742580117598,0.38110790691422686,0.3534777097956842,0.39898090379811835,0.620864169865514,0.39137466988385844,441209.0,0.0,110303.0,0.0,0.42643899077994246,0.03024155137603899,0.32954566058946716,0.3610514164609203,10.0,0.0,0.25,0.2581988897471611
