,,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,applicable,applicable,asr,asr,iters,iters,confidence,confidence,n_train,n_train,n_categorical_selected,n_categorical_selected,categorical_selected,categorical_selected
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
n_features,epsilon,resampled,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,0.75,,0.1817299836601307,0.1129605059806266,0.05797365456193406,0.009473548008080158,0.3677669111654442,0.10281884301339733,0.09979091535027292,0.017958921441786416,0.8449211908931699,0.14052136253803194,0.6322330888345559,0.10281884301339737,1.0,0.0,0.7741523692810457,0.11812052178090957,12.0,10.339685242263949,,,,,,,,
20.0,,,0.5484579248366013,0.35735739578926756,0.25692931656172097,0.24440431779659771,0.40016299918500403,0.218729425111377,0.2626850393011339,0.2413333438764318,0.43029772329246935,0.40567490671875506,0.5998370008149959,0.218729425111377,1.0,0.0,0.38128063725490197,0.37938867585946096,10.0,0.0,0.25,0.2672612419124244,,,,,,
25.0,0.15,,0.369140625,0.3046462622850787,0.1732991401027404,0.19567736887270878,0.4048492257538712,0.20169737079491248,0.15771878342449946,0.09934764137989602,0.6359748978400467,0.3670082162533307,0.5951507742461287,0.2016973707949125,1.0,0.0,0.5840737336601307,0.30242685019853743,12.0,10.112411659204612,,,,,,,,
25.0,0.3,,0.3331546160130719,0.3033657590330469,0.0943829066992349,0.08174520830756242,0.27760798696006517,0.14368466141382255,0.09982393151236019,0.03678022933739192,0.6588879159369527,0.36281704562538336,0.7223920130399347,0.14368466141382258,1.0,0.0,0.6206724877450981,0.3005434022824926,12.0,10.112411659204612,,,,,,,,
25.0,0.5,,0.2445235906862745,0.17221773504324484,0.050485652597029695,0.011001242655350565,0.2708842705786471,0.07127930824902017,0.08346733657948435,0.013750503147412222,0.7592527729130181,0.20438934398593048,0.7291157294213528,0.07127930824902015,1.0,0.0,0.7078737745098039,0.17358168327059878,12.0,10.112411659204612,,,,,,,,
25.0,0.75,,0.16245404411764702,0.03666391434809686,0.04438207979024108,0.0047883137908432735,0.2774042379788101,0.038442764434915684,0.07649168519627761,0.008475585849095302,0.8540134267367193,0.04497569187390873,0.7225957620211899,0.03844276443491569,1.0,0.0,0.7903645833333334,0.04764430422089353,12.0,10.112411659204612,,,,,,,,
25.0,,,0.5858226102941176,0.3208273440245655,0.30754009938042376,0.25354042284283235,0.3900774246128769,0.2222314534022038,0.27812767012037526,0.22690041945372702,0.38613543490951546,0.35631243752714153,0.609922575387123,0.22223145340220374,1.0,0.0,0.33926930147058826,0.34451594247793926,10.0,0.0,0.25,0.2581988897471611,,,,,,
,0.15,False,0.6704299428104575,0.32525645856593455,0.37867506918581234,0.25278570011734375,0.38402607986960063,0.20562493617309419,0.28241408033967896,0.17495362748176524,0.2885405720957384,0.3862251253222614,0.6159739201303993,0.20562493617309413,1.0,0.0,0.2849264705882353,0.34866008292522727,12.0,9.983036459372094,,,13054.0,0.0,0.0,0.0,,
,0.15,True,0.3766901552287581,0.2915640343783483,0.1430634726829408,0.14222645040057458,0.4350855745721271,0.24980866482412403,0.14759271247845115,0.07847804610116949,0.6316754232340922,0.3591877382961102,0.5649144254278728,0.24980866482412406,1.0,0.0,0.5782220179738562,0.2879326307988953,12.0,9.983036459372094,,,22834.0,0.0,0.0,0.0,,
,0.3,False,0.4347017973856209,0.2839103655543685,0.12346666918921127,0.07039636889976542,0.4311735941320293,0.23657665127699073,0.14780447402917474,0.058050801161796645,0.5647927612375948,0.35441338641896436,0.5688264058679706,0.2365766512769907,1.0,0.0,0.5398029003267975,0.3059395426487923,12.0,9.983036459372094,,,13054.0,0.0,0.0,0.0,,
,0.3,True,0.328094362745098,0.29456288468265124,0.07367478318902915,0.05650562293100909,0.3107171964140179,0.19452759247420176,0.09528380601827574,0.04466952828503887,0.6694162288382954,0.3586803675520728,0.689282803585982,0.1945275924742017,1.0,0.0,0.6277624591503268,0.2932629352450177,12.0,9.983036459372094,,,22834.0,0.0,0.0,0.0,,
,0.5,False,0.310171568627451,0.2871512069210583,0.08489851112733013,0.023522676140403907,0.44828850855745717,0.22644363785405602,0.12929020540114325,0.038548334492544765,0.7096147110332749,0.35912285385028503,0.5517114914425427,0.22644363785405602,1.0,0.0,0.6704248366013073,0.3096589063728547,12.0,9.983036459372094,,,13054.0,0.0,0.0,0.0,,
,0.5,True,0.2638888888888889,0.21570804511852695,0.05196127859568113,0.014928488991646007,0.2893643031784841,0.14437526577404597,0.08480797944829357,0.028660972835822345,0.7397606538237012,0.262295219378347,0.710635696821516,0.14437526577404594,1.0,0.0,0.6913602941176471,0.21669991125919622,12.0,9.983036459372094,,,22834.0,0.0,0.0,0.0,,
,0.75,False,0.1920394199346405,0.1884109187557578,0.07524759394355986,0.009759544435908873,0.4932355338223309,0.1502329279884195,0.127765319866601,0.02530256356434275,0.8511091652072388,0.23573811938501016,0.5067644661776691,0.1502329279884195,1.0,0.0,0.7968290441176471,0.20259721698748878,12.0,9.983036459372094,,,13054.0,0.0,0.0,0.0,,
,0.75,True,0.17994791666666662,0.08229499191532645,0.048528343546721454,0.009331163299882556,0.30142624286878567,0.08107369066086015,0.08340733276041663,0.016879391535987297,0.8374547577349678,0.10168778863772297,0.6985737571312144,0.08107369066086013,1.0,0.0,0.7752093545751635,0.0869144736326549,12.0,9.983036459372094,,,22834.0,0.0,0.0,0.0,,
,,False,0.5351205065359478,0.3790198138619896,0.37253046327937295,0.4137554095177501,0.4059494702526487,0.1762076596325189,0.28513400885262413,0.24865119184437806,0.44637478108581435,0.4445538889831785,0.5940505297473513,0.1762076596325189,1.0,0.0,0.42360600490196076,0.4066691039782586,10.0,0.0,0.25,0.25318484177091666,13054.0,0.0,0.0,0.0,,
,,True,0.5558670343137255,0.33697339519503305,0.26297341835145727,0.2471854581970554,0.37449062754686224,0.22016728022085444,0.2583594645529464,0.23497892677104917,0.41814944541739635,0.37659699005193614,0.6255093724531378,0.22016728022085447,1.0,0.0,0.3724622140522876,0.36034306615767664,10.0,0.0,0.25,0.25318484177091666,22834.0,0.0,0.0,0.0,,
