,n,n,n_detected_clean,n_detected_clean,asr,asr,fnr_under_attack,fnr_under_attack,iters,iters,confidence,confidence
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,
0.15,1088.0,1253.0483946478719,83.23333333333333,81.79372474598053,0.6815585420320602,0.327258048759364,0.5604303560254584,0.302902763003432,12.0,9.927108644188374,,
0.3,1088.0,1253.0483946478719,83.23333333333333,81.79372474598053,0.8235066492262129,0.2011515795434843,0.6956098498972474,0.24671287592441382,12.0,9.927108644188374,,
0.5,1088.0,1253.0483946478719,83.23333333333333,81.79372474598053,0.8590929182233469,0.15413053315666503,0.7221632739140752,0.23086380105974275,12.0,9.927108644188374,,
0.75,1088.0,1253.0483946478719,83.23333333333333,81.79372474598053,0.8622349114017189,0.12163037096396499,0.7146042072860586,0.22092676757285662,12.0,9.927108644188374,,
,1088.0,1254.8021371361083,83.23333333333333,81.90820167358429,0.8177796318251165,0.2518120578877394,0.7462977944469846,0.2736449670837745,10.0,0.0,0.25,0.25104822262671694
