,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,asr,asr,train_s,train_s,iters,iters,confidence,confidence,n_samples,n_samples,n_eligible,n_eligible,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,0.7891339869281047,0.03841794771958716,0.22418929983701352,0.08942668141350493,0.2572127139364303,0.10377257718208434,0.23255184807612375,0.08300086316308489,0.13466433158201982,0.045151783921247954,0.7427872860635697,0.10377257718208434,0.18296568627450976,0.03858653745295992,0.17836682796478268,0.034954746639207314,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.3,0.6798508986928105,0.06115419239446698,0.11008271726841397,0.05632358850506802,0.206601466992665,0.09150277974511477,0.14208761768436032,0.0680847144588167,0.2523525977816695,0.06626500708708453,0.7933985330073349,0.09150277974511475,0.29203431372549016,0.06137829277202941,0.17836682796478268,0.034954746639207314,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.5,0.44602736928104575,0.13388856512987637,0.06289240673608708,0.0213914625390975,0.23496332518337404,0.0806816584504373,0.09754118418782103,0.029520124842225905,0.5237361354349095,0.15886419462493506,0.765036674816626,0.08068165845043732,0.5233251633986928,0.13227091153728032,0.17836682796478268,0.034954746639207314,12.0,10.068729331193067,,,,,,,,,,,,,,,,
0.75,0.19736519607843134,0.07002668835681879,0.04874457977392902,0.00868810067543999,0.2962510187449062,0.07509401300606179,0.08358766643740143,0.015852814963749774,0.8168009340338588,0.08857119320266905,0.7037489812550938,0.07509401300606183,0.770812908496732,0.06794866587596866,0.17836682796478268,0.034954746639207314,12.0,10.068729331193067,,,,,,,,,,,,,,,,
,0.6778449754901961,0.3017999154950433,0.3545582725158455,0.2057371371932452,0.39714303178484106,0.23247067326139226,0.37215191554091015,0.2170077909280291,0.2911523642732049,0.3425941332868031,0.602856968215159,0.23247067326139226,0.3189695537562904,0.3767507163280246,0.17836682796478268,0.034954746639207314,10.0,0.0,0.25,0.2564945880212885,100.0,0.0,84.4,5.316640543300501,0.4923663228750229,0.14225681666516107,561.6,1.4298407059684892,0.0,0.0,4.7,6.019413038937711,4.915950727462769,0.8575878450341599
