model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
SVM,PGD_eps0.15_it25,210,207,0.961352657004831,0.961904761904762,PGD,0.15,25,Data Alteration,,42
SVM,PGD_eps0.15_it25,199,22,0.8181818181818182,0.5175879396984925,PGD,0.15,25,Spoofing,,42
SVM,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
RF,PGD_eps0.15_it25,210,210,0.9952380952380953,0.9952380952380953,PGD,0.15,25,Data Alteration,,42
RF,PGD_eps0.15_it25,199,86,1.0,0.984924623115578,PGD,0.15,25,Spoofing,,42
RF,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
MLP,PGD_eps0.15_it25,210,210,0.2666666666666666,0.2666666666666666,PGD,0.15,25,Data Alteration,,42
MLP,PGD_eps0.15_it25,199,103,1.0,0.5175879396984925,PGD,0.15,25,Spoofing,,42
MLP,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
LR,PGD_eps0.3_it10,210,209,0.5933014354066986,0.5952380952380952,PGD,0.3,10,Data Alteration,,42
LR,PGD_eps0.3_it10,199,23,0.782608695652174,0.5125628140703518,PGD,0.3,10,Spoofing,,42
LR,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
SVM,PGD_eps0.3_it10,210,207,0.9758454106280192,0.9761904761904762,PGD,0.3,10,Data Alteration,,42
SVM,PGD_eps0.3_it10,199,22,0.8181818181818182,0.5175879396984925,PGD,0.3,10,Spoofing,,42
SVM,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
RF,PGD_eps0.3_it10,210,210,1.0,1.0,PGD,0.3,10,Data Alteration,,42
RF,PGD_eps0.3_it10,199,86,1.0,0.984924623115578,PGD,0.3,10,Spoofing,,42
RF,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
MLP,PGD_eps0.3_it10,210,210,0.8428571428571429,0.8428571428571429,PGD,0.3,10,Data Alteration,,42
MLP,PGD_eps0.3_it10,199,103,1.0,0.5175879396984925,PGD,0.3,10,Spoofing,,42
MLP,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
LR,PGD_eps0.3_it25,210,209,0.5550239234449761,0.5571428571428572,PGD,0.3,25,Data Alteration,,42
LR,PGD_eps0.3_it25,199,23,0.782608695652174,0.5125628140703518,PGD,0.3,25,Spoofing,,42
LR,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,42
SVM,PGD_eps0.3_it25,210,207,0.9758454106280192,0.9761904761904762,PGD,0.3,25,Data Alteration,,42
SVM,PGD_eps0.3_it25,199,22,0.8181818181818182,0.5175879396984925,PGD,0.3,25,Spoofing,,42
SVM,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,42
RF,PGD_eps0.3_it25,210,210,1.0,1.0,PGD,0.3,25,Data Alteration,,42
RF,PGD_eps0.3_it25,199,86,1.0,0.984924623115578,PGD,0.3,25,Spoofing,,42
RF,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,42
MLP,PGD_eps0.3_it25,210,210,0.8428571428571429,0.8428571428571429,PGD,0.3,25,Data Alteration,,42
MLP,PGD_eps0.3_it25,199,103,1.0,0.5175879396984925,PGD,0.3,25,Spoofing,,42
MLP,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,42
LR,PGD_eps0.5_it10,210,209,0.7464114832535885,0.7476190476190476,PGD,0.5,10,Data Alteration,,42
LR,PGD_eps0.5_it10,199,23,0.782608695652174,0.5125628140703518,PGD,0.5,10,Spoofing,,42
LR,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,42
SVM,PGD_eps0.5_it10,210,207,0.9758454106280192,0.9761904761904762,PGD,0.5,10,Data Alteration,,42
SVM,PGD_eps0.5_it10,199,22,0.8181818181818182,0.5175879396984925,PGD,0.5,10,Spoofing,,42
SVM,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,42
RF,PGD_eps0.5_it10,210,210,1.0,1.0,PGD,0.5,10,Data Alteration,,42
RF,PGD_eps0.5_it10,199,86,0.8953488372093024,0.8592964824120602,PGD,0.5,10,Spoofing,,42
RF,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,42
MLP,PGD_eps0.5_it10,210,210,0.9666666666666668,0.9666666666666668,PGD,0.5,10,Data Alteration,,42
MLP,PGD_eps0.5_it10,199,103,1.0,0.5175879396984925,PGD,0.5,10,Spoofing,,42
MLP,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,,42
LR,PGD_eps0.5_it25,210,209,0.7655502392344498,0.7666666666666667,PGD,0.5,25,Data Alteration,,42
LR,PGD_eps0.5_it25,199,23,0.782608695652174,0.5125628140703518,PGD,0.5,25,Spoofing,,42
LR,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,,42
SVM,PGD_eps0.5_it25,210,207,0.9758454106280192,0.9761904761904762,PGD,0.5,25,Data Alteration,,42
SVM,PGD_eps0.5_it25,199,22,0.8181818181818182,0.5175879396984925,PGD,0.5,25,Spoofing,,42
SVM,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,,42
RF,PGD_eps0.5_it25,210,210,1.0,1.0,PGD,0.5,25,Data Alteration,,42
RF,PGD_eps0.5_it25,199,86,0.9186046511627908,0.8341708542713567,PGD,0.5,25,Spoofing,,42
RF,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,,42
MLP,PGD_eps0.5_it25,210,210,0.961904761904762,0.961904761904762,PGD,0.5,25,Data Alteration,,42
MLP,PGD_eps0.5_it25,199,103,1.0,0.5175879396984925,PGD,0.5,25,Spoofing,,42
MLP,PGD_eps0.5_it25,2855,0,,,PGD,0.5,25,normal,,42
LR,PGD_eps0.75_it10,210,209,0.7607655502392344,0.7619047619047619,PGD,0.75,10,Data Alteration,,42
LR,PGD_eps0.75_it10,199,23,0.782608695652174,0.5125628140703518,PGD,0.75,10,Spoofing,,42
LR,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,,42
SVM,PGD_eps0.75_it10,210,207,0.9758454106280192,0.9761904761904762,PGD,0.75,10,Data Alteration,,42
SVM,PGD_eps0.75_it10,199,22,0.8181818181818182,0.5175879396984925,PGD,0.75,10,Spoofing,,42
SVM,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,,42
RF,PGD_eps0.75_it10,210,210,1.0,1.0,PGD,0.75,10,Data Alteration,,42
RF,PGD_eps0.75_it10,199,86,0.8837209302325582,0.7587939698492462,PGD,0.75,10,Spoofing,,42
RF,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,,42
MLP,PGD_eps0.75_it10,210,210,0.9904761904761904,0.9904761904761904,PGD,0.75,10,Data Alteration,,42
MLP,PGD_eps0.75_it10,199,103,1.0,0.5175879396984925,PGD,0.75,10,Spoofing,,42
MLP,PGD_eps0.75_it10,2855,0,,,PGD,0.75,10,normal,,42
LR,PGD_eps0.75_it25,210,209,0.7607655502392344,0.7619047619047619,PGD,0.75,25,Data Alteration,,42
LR,PGD_eps0.75_it25,199,23,0.782608695652174,0.5125628140703518,PGD,0.75,25,Spoofing,,42
LR,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,,42
SVM,PGD_eps0.75_it25,210,207,0.9758454106280192,0.9761904761904762,PGD,0.75,25,Data Alteration,,42
SVM,PGD_eps0.75_it25,199,22,0.8181818181818182,0.5175879396984925,PGD,0.75,25,Spoofing,,42
SVM,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,,42
RF,PGD_eps0.75_it25,210,210,1.0,1.0,PGD,0.75,25,Data Alteration,,42
RF,PGD_eps0.75_it25,199,86,0.7674418604651163,0.6733668341708543,PGD,0.75,25,Spoofing,,42
RF,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,,42
MLP,PGD_eps0.75_it25,210,210,0.9904761904761904,0.9904761904761904,PGD,0.75,25,Data Alteration,,42
MLP,PGD_eps0.75_it25,199,103,1.0,0.5175879396984925,PGD,0.75,25,Spoofing,,42
MLP,PGD_eps0.75_it25,2855,0,,,PGD,0.75,25,normal,,42
LR,CW_c0.0_it10,210,209,0.8325358851674641,0.8333333333333334,CW,,10,Data Alteration,0.0,42
LR,CW_c0.0_it10,199,23,0.6086956521739131,0.7638190954773869,CW,,10,Spoofing,0.0,42
LR,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0,42
SVM,CW_c0.0_it10,210,207,0.9710144927536232,0.9714285714285714,CW,,10,Data Alteration,0.0,42
SVM,CW_c0.0_it10,199,22,0.6818181818181818,0.592964824120603,CW,,10,Spoofing,0.0,42
SVM,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0,42
RF,CW_c0.0_it10,210,210,0.9761904761904762,0.9761904761904762,CW,,10,Data Alteration,0.0,42
RF,CW_c0.0_it10,199,86,0.9418604651162792,0.9597989949748744,CW,,10,Spoofing,0.0,42
RF,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0,42
MLP,CW_c0.0_it10,210,210,0.9952380952380953,0.9952380952380953,CW,,10,Data Alteration,0.0,42
MLP,CW_c0.0_it10,199,103,1.0,0.5226130653266332,CW,,10,Spoofing,0.0,42
MLP,CW_c0.0_it10,2855,0,,,CW,,10,normal,0.0,42
LR,CW_c0.5_it10,210,209,0.8803827751196173,0.8809523809523809,CW,,10,Data Alteration,0.5,42
LR,CW_c0.5_it10,199,23,0.6521739130434783,0.5577889447236181,CW,,10,Spoofing,0.5,42
LR,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5,42
SVM,CW_c0.5_it10,210,207,0.9758454106280192,0.9761904761904762,CW,,10,Data Alteration,0.5,42
SVM,CW_c0.5_it10,199,22,0.7727272727272727,0.5175879396984925,CW,,10,Spoofing,0.5,42
SVM,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5,42
RF,CW_c0.5_it10,210,210,0.9952380952380953,0.9952380952380953,CW,,10,Data Alteration,0.5,42
RF,CW_c0.5_it10,199,86,1.0,0.9899497487437184,CW,,10,Spoofing,0.5,42
RF,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5,42
MLP,CW_c0.5_it10,210,210,1.0,1.0,CW,,10,Data Alteration,0.5,42
MLP,CW_c0.5_it10,199,103,1.0,0.5175879396984925,CW,,10,Spoofing,0.5,42
MLP,CW_c0.5_it10,2855,0,,,CW,,10,normal,0.5,42
LR,FGSM_eps0.15,192,191,0.0732984293193717,0.078125,FGSM,0.15,1,Data Alteration,,7
LR,FGSM_eps0.15,217,26,0.7307692307692307,0.6405529953917051,FGSM,0.15,1,Spoofing,,7
LR,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,7
SVM,FGSM_eps0.15,192,190,0.8842105263157894,0.8854166666666666,FGSM,0.15,1,Data Alteration,,7
SVM,FGSM_eps0.15,217,23,0.7391304347826086,0.576036866359447,FGSM,0.15,1,Spoofing,,7
SVM,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,7
RF,FGSM_eps0.15,192,192,0.375,0.375,FGSM,0.15,1,Data Alteration,,7
RF,FGSM_eps0.15,217,94,0.9680851063829788,0.9723502304147466,FGSM,0.15,1,Spoofing,,7
RF,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,7
MLP,FGSM_eps0.15,192,192,0.5625,0.5625,FGSM,0.15,1,Data Alteration,,7
MLP,FGSM_eps0.15,217,125,1.0,0.576036866359447,FGSM,0.15,1,Spoofing,,7
MLP,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,7
LR,FGSM_eps0.3,192,191,0.7801047120418848,0.78125,FGSM,0.3,1,Data Alteration,,7
LR,FGSM_eps0.3,217,26,0.7307692307692307,0.6359447004608295,FGSM,0.3,1,Spoofing,,7
LR,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,7
SVM,FGSM_eps0.3,192,190,0.9526315789473684,0.953125,FGSM,0.3,1,Data Alteration,,7
SVM,FGSM_eps0.3,217,23,0.7391304347826086,0.576036866359447,FGSM,0.3,1,Spoofing,,7
SVM,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,7
RF,FGSM_eps0.3,192,192,0.703125,0.703125,FGSM,0.3,1,Data Alteration,,7
RF,FGSM_eps0.3,217,94,0.9574468085106383,0.9631336405529954,FGSM,0.3,1,Spoofing,,7
RF,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,7
MLP,FGSM_eps0.3,192,192,0.921875,0.921875,FGSM,0.3,1,Data Alteration,,7
MLP,FGSM_eps0.3,217,125,1.0,0.576036866359447,FGSM,0.3,1,Spoofing,,7
MLP,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,7
LR,FGSM_eps0.5,192,191,0.9214659685863874,0.921875,FGSM,0.5,1,Data Alteration,,7
LR,FGSM_eps0.5,217,26,0.7307692307692307,0.6129032258064516,FGSM,0.5,1,Spoofing,,7
LR,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,7
SVM,FGSM_eps0.5,192,190,0.9526315789473684,0.953125,FGSM,0.5,1,Data Alteration,,7
SVM,FGSM_eps0.5,217,23,0.7391304347826086,0.576036866359447,FGSM,0.5,1,Spoofing,,7
SVM,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,7
RF,FGSM_eps0.5,192,192,0.8802083333333334,0.8802083333333334,FGSM,0.5,1,Data Alteration,,7
RF,FGSM_eps0.5,217,94,0.7659574468085106,0.6820276497695853,FGSM,0.5,1,Spoofing,,7
RF,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,7
MLP,FGSM_eps0.5,192,192,0.953125,0.953125,FGSM,0.5,1,Data Alteration,,7
MLP,FGSM_eps0.5,217,125,1.0,0.576036866359447,FGSM,0.5,1,Spoofing,,7
MLP,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,7
LR,FGSM_eps0.75,192,191,0.9476439790575916,0.9479166666666666,FGSM,0.75,1,Data Alteration,,7
LR,FGSM_eps0.75,217,26,0.7307692307692307,0.6129032258064516,FGSM,0.75,1,Spoofing,,7
LR,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,7
SVM,FGSM_eps0.75,192,190,0.9526315789473684,0.953125,FGSM,0.75,1,Data Alteration,,7
SVM,FGSM_eps0.75,217,23,0.7391304347826086,0.576036866359447,FGSM,0.75,1,Spoofing,,7
SVM,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,7
RF,FGSM_eps0.75,192,192,0.9322916666666666,0.9322916666666666,FGSM,0.75,1,Data Alteration,,7
RF,FGSM_eps0.75,217,94,0.7446808510638298,0.576036866359447,FGSM,0.75,1,Spoofing,,7
RF,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,7
MLP,FGSM_eps0.75,192,192,0.953125,0.953125,FGSM,0.75,1,Data Alteration,,7
MLP,FGSM_eps0.75,217,125,1.0,0.576036866359447,FGSM,0.75,1,Spoofing,,7
MLP,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,7
LR,PGD_eps0.15_it10,192,191,0.0680628272251308,0.0729166666666666,PGD,0.15,10,Data Alteration,,7
LR,PGD_eps0.15_it10,217,26,0.6923076923076923,0.5852534562211982,PGD,0.15,10,Spoofing,,7
LR,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,7
SVM,PGD_eps0.15_it10,192,190,0.8789473684210526,0.8802083333333334,PGD,0.15,10,Data Alteration,,7
SVM,PGD_eps0.15_it10,217,23,0.7391304347826086,0.576036866359447,PGD,0.15,10,Spoofing,,7
