,,approx_queries,approx_queries,n_samples,n_samples,n_eligible,n_eligible,asr,asr,adv_accuracy,adv_accuracy,mean_l2,mean_l2,median_queries_success,median_queries_success,query_budget_exhausted,query_budget_exhausted,numerical_stagnation,numerical_stagnation,elapsed_s,elapsed_s
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
max_iter,max_eval,,,,,,,,,,,,,,,,,,,,
5,100,500.0,0.0,200.0,0.0,147.46666666666667,8.467304062996565,0.9594763835132948,0.07067262530060839,0.28300000000000003,0.03374272408344395,0.7911687831083933,0.7394436133875376,228.83333333333334,1.70782512765993,0.0,0.0,0.06666666666666667,0.2581988897471611,9.1738294283549,12.195285963693784
10,200,2000.0,0.0,200.0,0.0,147.46666666666667,8.467304062996565,0.9594763835132948,0.07067262530060839,0.28300000000000003,0.03374272408344395,0.530598820745945,0.4176719617203202,558.7666666666667,3.005154302353273,0.0,0.0,0.06666666666666667,0.2581988897471611,15.86114805539449,21.051649942369863
20,500,10000.0,0.0,200.0,0.0,147.46666666666667,8.467304062996565,0.9590434830803943,0.07165560476994329,0.2833333333333333,0.03420874296489268,0.4089117705821991,0.30039357108773995,1440.6333333333334,5.801682842893428,0.0,0.0,0.13333333333333333,0.3518657752744984,29.393655602137247,38.98626342400482
40,1000,40000.0,0.0,200.0,0.0,147.46666666666667,8.467304062996565,0.9586369790153537,0.0717204272430033,0.2836666666666667,0.03329879162686724,0.3445431669553121,0.2649632561151434,3830.366666666667,10.013324456276488,0.0,0.0,0.2,0.4140393356054125,57.255042203267415,75.82551389050988
