accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.7879901960784313,0.2477718360071301,0.3398533007334963,0.2865979381443299,0.1478108581436077,0.6601466992665037,XGB,PGD_eps0.15_it10,0.1881127450980392,0.2198672294616699,PGD,0.15,10.0,,,,,,,,,7
0.7671568627450981,0.218298555377207,0.3325183374083129,0.2635658914728682,0.1705779334500875,0.6674816625916871,XGB,PGD_eps0.15_it25,0.2086397058823529,0.2198672294616699,PGD,0.15,25.0,,,,,,,,,7
0.742953431372549,0.1543408360128617,0.2347188264058679,0.1862269641125121,0.1842381786339754,0.7652811735941321,XGB,PGD_eps0.3_it10,0.2313112745098039,0.2198672294616699,PGD,0.3,10.0,,,,,,,,,7
0.7212009803921569,0.1486676016830294,0.2591687041564792,0.1889483065953654,0.2126094570928196,0.7408312958435208,XGB,PGD_eps0.3_it25,0.253063725490196,0.2198672294616699,PGD,0.3,25.0,,,,,,,,,7
0.6482843137254902,0.0926130099228225,0.2053789731051344,0.1276595744680851,0.2882661996497373,0.7946210268948656,XGB,PGD_eps0.5_it10,0.3262867647058823,0.2198672294616699,PGD,0.5,10.0,,,,,,,,,7
0.6081495098039216,0.0896226415094339,0.2322738386308068,0.1293396868618107,0.3380035026269702,0.7677261613691931,XGB,PGD_eps0.5_it25,0.3673406862745098,0.2198672294616699,PGD,0.5,25.0,,,,,,,,,7
0.2239583333333333,0.0461538461538461,0.2640586797066014,0.0785740269188795,0.7817863397548162,0.7359413202933985,XGB,PGD_eps0.75_it10,0.7506127450980392,0.2198672294616699,PGD,0.75,10.0,,,,,,,,,7
0.2322303921568627,0.0431372549019607,0.2420537897310513,0.0732248520710059,0.7691768826619965,0.7579462102689487,XGB,PGD_eps0.75_it25,0.7423406862745098,0.2198672294616699,PGD,0.75,25.0,,,,,,,,,7
0.7659313725490197,0.2438672438672438,0.4132029339853301,0.3067150635208711,0.1835376532399299,0.58679706601467,XGB,CW_c0.0_it10,0.197610294117647,0.2198672294616699,CW,,10.0,0.0,,,,,,,,7
0.7947303921568627,0.2542372881355932,0.3300733496332518,0.2872340425531915,0.1387040280210157,0.6699266503667481,XGB,CW_c0.5_it10,0.1801470588235294,0.2198672294616699,CW,,10.0,0.5,,,,,,,,7
0.19,0.196078431372549,0.2,0.198019801980198,0.82,0.8,XGB,HopSkipJump_direct,0.902439024390244,,,,,,100.0,82.0,0.4294565916061401,561.0,0.0,15.0,4.054510354995728,7
0.9341299019607844,0.7184684684684685,0.7799511002444988,0.7479484173505275,0.0437828371278458,0.2200488997555012,LGBM,clean,0.0,0.1627569198608398,,,,,,,,,,,,7
0.7846200980392157,0.1762114537444934,0.19559902200489,0.1853997682502897,0.1309982486865148,0.80440097799511,LGBM,FGSM_eps0.15,0.1884191176470588,0.1627569198608398,FGSM,0.15,1.0,,,,,,,,,7
0.6050857843137255,0.0573440643863179,0.1393643031784841,0.0812544547398431,0.3281961471103327,0.8606356968215159,LGBM,FGSM_eps0.3,0.3670343137254901,0.1627569198608398,FGSM,0.3,1.0,,,,,,,,,7
0.3596813725490196,0.0389467910038398,0.1735941320293398,0.0636200716845878,0.613660245183888,0.8264058679706602,LGBM,FGSM_eps0.5,0.6087622549019608,0.1627569198608398,FGSM,0.5,1.0,,,,,,,,,7
0.171875,0.0386162510056315,0.2347188264058679,0.066321243523316,0.8371278458844134,0.7652811735941321,LGBM,FGSM_eps0.75,0.8014705882352942,0.1627569198608398,FGSM,0.75,1.0,,,,,,,,,7
0.8131127450980392,0.2169014084507042,0.1882640586797066,0.2015706806282722,0.0973730297723292,0.8117359413202934,LGBM,PGD_eps0.15_it10,0.1602328431372549,0.1627569198608398,PGD,0.15,10.0,,,,,,,,,7
0.7950367647058824,0.1798029556650246,0.1784841075794621,0.1791411042944785,0.1166374781085814,0.8215158924205379,LGBM,PGD_eps0.15_it25,0.1773897058823529,0.1627569198608398,PGD,0.15,25.0,,,,,,,,,7
0.741421568627451,0.0693069306930693,0.0855745721271393,0.0765864332603938,0.1646234676007005,0.9144254278728606,LGBM,PGD_eps0.3_it10,0.2316176470588235,0.1627569198608398,PGD,0.3,10.0,,,,,,,,,7
0.7132352941176471,0.0701468189233279,0.1051344743276283,0.0841487279843444,0.1996497373029772,0.8948655256723717,LGBM,PGD_eps0.3_it25,0.2598039215686274,0.1627569198608398,PGD,0.3,25.0,,,,,,,,,7
0.5870098039215687,0.0549763033175355,0.1418092909535452,0.0792349726775956,0.3492119089316988,0.8581907090464548,LGBM,PGD_eps0.5_it10,0.383578431372549,0.1627569198608398,PGD,0.5,10.0,,,,,,,,,7
0.5431985294117647,0.0491666666666666,0.1442542787286063,0.0733374766935985,0.3996497373029772,0.8557457212713936,LGBM,PGD_eps0.5_it25,0.4280024509803921,0.1627569198608398,PGD,0.5,25.0,,,,,,,,,7
0.2377450980392156,0.0418686646099603,0.2322738386308068,0.0709484690067214,0.7614711033274956,0.7677261613691931,LGBM,PGD_eps0.75_it10,0.7349877450980392,0.1627569198608398,PGD,0.75,10.0,,,,,,,,,7
0.2356004901960784,0.0405286343612334,0.2249388753056234,0.068682344158268,0.7628721541155867,0.7750611246943765,LGBM,PGD_eps0.75_it25,0.7371323529411765,0.1627569198608398,PGD,0.75,25.0,,,,,,,,,7
0.7974877450980392,0.2773851590106007,0.3838630806845965,0.322051282051282,0.1432574430823117,0.6161369193154034,LGBM,CW_c0.0_it10,0.1700367647058823,0.1627569198608398,CW,,10.0,0.0,,,,,,,,7
0.7990196078431373,0.2708719851576994,0.3569682151589242,0.3080168776371308,0.1376532399299474,0.6430317848410758,LGBM,CW_c0.5_it10,0.1737132352941176,0.1627569198608398,CW,,10.0,0.5,,,,,,,,7
0.18,0.2333333333333333,0.28,0.2545454545454545,0.92,0.72,LGBM,HopSkipJump_direct,0.9759036144578314,,,,,,100.0,83.0,0.5957546234130859,560.0,0.0,0.0,5.40595269203186,7
0.924938725490196,0.6846846846846847,0.7432762836185819,0.712778429073857,0.0490367775831873,0.2567237163814181,XGB,clean,0.0,0.2018594741821289,,,,,,,,,,,,123
0.8287377450980392,0.3424369747899159,0.3985330073349633,0.3683615819209039,0.1096322241681261,0.6014669926650367,XGB,FGSM_eps0.15,0.1418504901960784,0.2018594741821289,FGSM,0.15,1.0,,,,,,,,,123
0.7552083333333334,0.208955223880597,0.3422982885085575,0.2594995366079703,0.1856392294220665,0.6577017114914425,XGB,FGSM_eps0.3,0.2150735294117647,0.2018594741821289,FGSM,0.3,1.0,,,,,,,,,123
0.6176470588235294,0.0985645933014354,0.2518337408312958,0.1416781292984869,0.3299474605954466,0.7481662591687042,XGB,FGSM_eps0.5,0.3511029411764705,0.2018594741821289,FGSM,0.5,1.0,,,,,,,,,123
0.1752450980392156,0.062811183454615,0.4009779951100244,0.1086092715231788,0.8570928196147111,0.5990220048899756,XGB,FGSM_eps0.75,0.7870710784313726,0.2018594741821289,FGSM,0.75,1.0,,,,,,,,,123
0.8452818627450981,0.396551724137931,0.4498777506112469,0.4215349369988545,0.0980735551663747,0.5501222493887531,XGB,PGD_eps0.15_it10,0.126531862745098,0.2018594741821289,PGD,0.15,10.0,,,,,,,,,123
0.8293504901960784,0.3576923076923077,0.4547677261613692,0.4004305705059203,0.1169877408056042,0.5452322738386308,XGB,PGD_eps0.15_it25,0.1415441176470588,0.2018594741821289,PGD,0.15,25.0,,,,,,,,,123
0.7876838235294118,0.2656765676567656,0.393643031784841,0.3172413793103448,0.1558669001751313,0.6063569682151589,XGB,PGD_eps0.3_it10,0.1829044117647058,0.2018594741821289,PGD,0.3,10.0,,,,,,,,,123
0.7619485294117647,0.2371428571428571,0.4058679706601467,0.2993688007213706,0.1870402802101576,0.5941320293398533,XGB,PGD_eps0.3_it25,0.2095588235294117,0.2018594741821289,PGD,0.3,25.0,,,,,,,,,123
0.6501225490196079,0.1170323928944618,0.2738386308068459,0.1639824304538799,0.2959719789842381,0.726161369193154,XGB,PGD_eps0.5_it10,0.3195465686274509,0.2018594741821289,PGD,0.5,10.0,,,,,,,,,123
0.6096813725490197,0.1071752951861943,0.2885085574572127,0.1562913907284768,0.34430823117338,0.7114914425427873,XGB,PGD_eps0.5_it25,0.3581495098039216,0.2018594741821289,PGD,0.5,25.0,,,,,,,,,123
0.1681985294117647,0.0605945121951219,0.3887530562347188,0.1048466864490603,0.8633975481611208,0.6112469437652812,XGB,PGD_eps0.75_it10,0.7950367647058824,0.2018594741821289,PGD,0.75,10.0,,,,,,,,,123
0.1587009803921568,0.0598870056497175,0.3887530562347188,0.1037859007832898,0.8742556917688267,0.6112469437652812,XGB,PGD_eps0.75_it25,0.8036151960784313,0.2018594741821289,PGD,0.75,25.0,,,,,,,,,123
0.8174019607843137,0.3265306122448979,0.4303178484107579,0.3713080168776371,0.1271453590192644,0.5696821515892421,XGB,CW_c0.0_it10,0.142156862745098,0.2018594741821289,CW,,10.0,0.0,,,,,,,,123
0.8330269607843137,0.3515283842794759,0.393643031784841,0.3713956170703575,0.1040280210157618,0.6063569682151589,XGB,CW_c0.5_it10,0.135110294117647,0.2018594741821289,CW,,10.0,0.5,,,,,,,,123
0.18,0.1923076923076923,0.2,0.196078431372549,0.84,0.8,XGB,HopSkipJump_direct,0.9090909090909092,,,,,,100.0,88.0,0.3997382819652557,561.0,0.0,10.0,4.107284069061279,123
0.9316789215686274,0.7113636363636363,0.7652811735941321,0.7373380447585395,0.0444833625218914,0.2347188264058679,LGBM,clean,0.0,0.1466002464294433,,,,,,,,,,,,123
0.828125,0.3137254901960784,0.3129584352078239,0.3133414932680538,0.0980735551663747,0.687041564792176,LGBM,FGSM_eps0.15,0.143688725490196,0.1466002464294433,FGSM,0.15,1.0,,,,,,,,,123
0.6393995098039216,0.1016597510373444,0.2396088019559902,0.1427530954115076,0.3033274956217163,0.7603911980440098,LGBM,FGSM_eps0.3,0.331188725490196,0.1466002464294433,FGSM,0.3,1.0,,,,,,,,,123
0.3774509803921568,0.074015748031496,0.3447432762836185,0.121866897147796,0.6178633975481611,0.6552567237163814,LGBM,FGSM_eps0.5,0.5842524509803921,0.1466002464294433,FGSM,0.5,1.0,,,,,,,,,123
0.1268382352941176,0.0585895117540687,0.3960880195599022,0.1020793950850661,0.9117338003502627,0.6039119804400978,LGBM,FGSM_eps0.75,0.8391544117647058,0.1466002464294433,FGSM,0.75,1.0,,,,,,,,,123
0.8125,0.2769230769230769,0.3080684596577017,0.2916666666666667,0.1152364273204903,0.6919315403422983,LGBM,PGD_eps0.15_it10,0.157781862745098,0.1466002464294433,PGD,0.15,10.0,,,,,,,,,123
0.8002450980392157,0.2584493041749503,0.3178484107579462,0.2850877192982456,0.1306479859894921,0.6821515892420538,LGBM,PGD_eps0.15_it25,0.1709558823529411,0.1466002464294433,PGD,0.15,25.0,,,,,,,,,123
0.7169117647058824,0.1056661562021439,0.1687041564792176,0.1299435028248587,0.2045534150612959,0.8312958435207825,LGBM,PGD_eps0.3_it10,0.2545955882352941,0.1466002464294433,PGD,0.3,10.0,,,,,,,,,123
0.6672794117647058,0.09167671893848,0.1858190709046454,0.122778675282714,0.2637478108581436,0.8141809290953546,LGBM,PGD_eps0.3_it25,0.3048406862745098,0.1466002464294433,PGD,0.3,25.0,,,,,,,,,123
0.6109068627450981,0.0682046138415245,0.1662591687041564,0.096728307254623,0.3253940455341506,0.8337408312958435,LGBM,PGD_eps0.5_it10,0.3584558823529412,0.1466002464294433,PGD,0.5,10.0,,,,,,,,,123
0.5977328431372549,0.0637065637065637,0.1613691931540342,0.0913494809688581,0.3397548161120841,0.8386308068459658,LGBM,PGD_eps0.5_it25,0.3722426470588235,0.1466002464294433,PGD,0.5,25.0,,,,,,,,,123
0.1556372549019608,0.0553239863584691,0.3569682151589242,0.0958005249343832,0.8732049036777583,0.6430317848410758,LGBM,PGD_eps0.75_it10,0.8091299019607843,0.1466002464294433,PGD,0.75,10.0,,,,,,,,,123
0.140625,0.0523168908819133,0.3422982885085575,0.0907617504051863,0.8882661996497373,0.6577017114914425,LGBM,PGD_eps0.75_it25,0.8241421568627451,0.1466002464294433,PGD,0.75,25.0,,,,,,,,,123
0.8256740196078431,0.3181818181818182,0.3422982885085575,0.3297997644287397,0.1050788091068301,0.6577017114914425,LGBM,CW_c0.0_it10,0.142156862745098,0.1466002464294433,CW,,10.0,0.0,,,,,,,,123
0.8345588235294118,0.330749354005168,0.3129584352078239,0.321608040201005,0.0907180385288966,0.687041564792176,LGBM,CW_c0.5_it10,0.1363357843137254,0.1466002464294433,CW,,10.0,0.5,,,,,,,,123
0.11,0.1578947368421052,0.18,0.1682242990654205,0.96,0.82,LGBM,HopSkipJump_direct,0.9888888888888888,,,,,,100.0,90.0,0.4085327386856079,561.0,0.0,0.0,5.860033988952637,123
0.9240196078431372,0.6716417910447762,0.7701711491442543,0.7175398633257403,0.0539404553415061,0.2298288508557457,XGB,clean,0.0,0.2167868614196777,,,,,,,,,,,,31
0.7405024509803921,0.2008196721311475,0.3594132029339853,0.2576687116564417,0.2049036777583187,0.6405867970660146,XGB,FGSM_eps0.15,0.2310049019607843,0.2167868614196777,FGSM,0.15,1.0,,,,,,,,,31
