accuracy,precision,recall,f1,fpr,fnr,surrogate,hidden,epochs,surrogate_clean_acc,surrogate_train_s,target,epsilon,asr,seed
0.1724877450980392,0.0685240963855421,0.4449877750611247,0.1187601957585644,0.8665499124343258,0.5550122249388753,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,LR,0.3,0.7607230392156863,42
0.1498161764705882,0.0393302180685358,0.2469437652811736,0.0678535438360765,0.8640980735551663,0.7530562347188264,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,SVM,0.3,0.7913602941176471,42
0.8143382352941176,0.0147783251231527,0.0073349633251833,0.0098039215686274,0.0700525394045534,0.9926650366748166,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,RF,0.3,0.150735294117647,42
0.1629901960784313,0.0571864277544796,0.3667481662591687,0.0989445910290237,0.866199649737303,0.6332518337408313,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,LR,0.5,0.7702205882352942,42
0.1495098039215686,0.0393149085247177,0.2469437652811736,0.0678307588985896,0.8644483362521891,0.7530562347188264,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,SVM,0.5,0.7916666666666666,42
0.5333946078431373,0.0239316239316239,0.0684596577017114,0.0354654844838505,0.4,0.9315403422982884,submitted,"[32, 12]",12,0.8526348039215687,6.418323993682861,RF,0.5,0.4276960784313725,42
0.167892156862745,0.040621266427718,0.2493887530562347,0.0698630136986301,0.8437828371278459,0.7506112469437652,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,LR,0.3,0.7576593137254902,42
0.1590073529411764,0.0282714054927302,0.1711491442542787,0.048526863084922,0.8427320490367776,0.8288508557457213,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,SVM,0.3,0.7732843137254902,42
0.8290441176470589,0.0193548387096774,0.0073349633251833,0.0106382978723404,0.0532399299474605,0.9926650366748166,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,RF,0.3,0.1369485294117647,42
0.1620710784313725,0.0321802091713596,0.19559902200489,0.0552677029360967,0.8427320490367776,0.80440097799511,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,LR,0.5,0.7643995098039216,42
0.1590073529411764,0.0282714054927302,0.1711491442542787,0.048526863084922,0.8427320490367776,0.8288508557457213,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,SVM,0.5,0.7732843137254902,42
0.4237132352941176,0.0195822454308094,0.0733496332518337,0.0309119010819165,0.5260945709281961,0.9266503667481664,longer,"[32, 12]",50,0.8434436274509803,23.800665855407715,RF,0.5,0.5389093137254902,42
0.1764705882352941,0.0354667753770892,0.2127139364303178,0.060796645702306,0.8287215411558669,0.7872860635696821,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,LR,0.3,0.741421568627451,42
0.1694240196078431,0.0259472817133443,0.1540342298288508,0.0444131124427211,0.8283712784588442,0.8459657701711492,wider,"[128, 64]",12,0.8330269607843137,5.642422199249268,SVM,0.3,0.7545955882352942,42
