accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s,seed
0.1099877450980392,0.0654596100278551,0.4596577017114914,0.1145992075586711,0.9401050788091068,0.5403422982885085,LR,FGSM_direct,0.15,0.8893995098039216,0.5802775621414185,0.0116767883300781,42
0.1099877450980392,0.0654596100278551,0.4596577017114914,0.1145992075586711,0.9401050788091068,0.5403422982885085,LR,PGD_direct,0.15,0.8893995098039216,0.5802775621414185,0.0789387226104736,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,FGSM_direct,0.3,0.8909313725490197,1.1605547666549685,0.0108344554901123,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,PGD_direct,0.3,0.8909313725490197,1.1605548858642578,0.0719497203826904,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,FGSM_direct,0.5,0.8909313725490197,1.934245586395264,0.009988784790039,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,PGD_direct,0.5,0.8909313725490197,1.934245586395264,0.0721409320831298,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,FGSM_direct,0.75,0.8909313725490197,2.901362419128418,0.0100362300872802,42
0.1090686274509804,0.0638743455497382,0.4474327628361858,0.1117898594990837,0.9394045534150612,0.5525672371638142,LR,PGD_direct,0.75,0.8909313725490197,2.901362419128418,0.0706701278686523,42
0.1001838235294117,0.0641379310344827,0.4547677261613692,0.1124206708975521,0.95061295971979,0.5452322738386308,SVM,FGSM_direct,0.15,0.8998161764705882,0.5809473991394043,0.0125403404235839,42
0.1001838235294117,0.0641379310344827,0.4547677261613692,0.1124206708975521,0.95061295971979,0.5452322738386308,SVM,PGD_direct,0.15,0.8998161764705882,0.5809473991394043,0.0894851684570312,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,FGSM_direct,0.3,0.9001225490196079,1.1618947982788086,0.0116248130798339,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,PGD_direct,0.3,0.9001225490196079,1.1618947982788086,0.0859150886535644,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,FGSM_direct,0.5,0.9001225490196079,1.936478853225708,0.0108799934387207,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,PGD_direct,0.5,0.9001225490196079,1.936478853225708,0.083573579788208,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,FGSM_direct,0.75,0.9001225490196079,2.904712200164795,0.0119616985321044,42
0.0998774509803921,0.0638151086581579,0.452322738386308,0.1118500604594921,0.95061295971979,0.5476772616136919,SVM,PGD_direct,0.75,0.9001225490196079,2.904712200164795,0.0871689319610595,42
