accuracy,precision,recall,f1,fpr,fnr,model,config,search_budget,best_params,cv_f1_macro,fit_s,seed
0.8952205882352942,0.5835411471321695,0.5721271393643031,0.5777777777777777,0.0584938704028021,0.4278728606356968,LR,tuned,12,"{'class_weight': None, 'C': 0.1}",0.6960402733667994,0.2360444068908691,42
0.8933823529411765,0.575682382133995,0.5672371638141809,0.5714285714285714,0.0598949211908931,0.432762836185819,LR,as_submitted,0,{'max_iter': 500},,0.0473449230194091,42
0.9022671568627452,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.0486865148861646,0.4400977995110024,SVM,tuned,12,"{'class_weight': None, 'C': 10.0}",0.6954850161876749,8.519224882125854,42
0.9022671568627452,0.6222826086956522,0.5599022004889975,0.5894465894465895,0.0486865148861646,0.4400977995110024,SVM,as_submitted,0,{'max_iter': 500},,1.5805377960205078,42
0.9338235294117648,0.7188208616780045,0.7750611246943765,0.7458823529411764,0.0434325744308231,0.2249388753056234,RF,tuned,12,"{'n_estimators': 50, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",0.9397376958410858,12.11499547958374,42
0.9126838235294118,0.6324786324786325,0.7237163814180929,0.6750285062713797,0.0602451838879159,0.2762836185819071,RF,as_submitted,0,{'n_estimators': 50},,1.386973857879639,42
0.8875612745098039,0.5544041450777202,0.5232273838630807,0.5383647798742138,0.0602451838879159,0.4767726161369193,LR,tuned,12,"{'class_weight': 'balanced', 'C': 0.1}",0.7122750831138006,0.3570556640625,7
0.8826593137254902,0.5318627450980392,0.530562347188264,0.5312117503059975,0.0669001751313485,0.4694376528117359,LR,as_submitted,0,{'max_iter': 500},,0.0961391925811767,7
0.8915441176470589,0.5749318801089919,0.5158924205378973,0.5438144329896907,0.0546409807355516,0.4841075794621027,SVM,tuned,12,"{'class_weight': None, 'C': 0.01}",0.7113384142960458,10.93656086921692,7
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,SVM,as_submitted,0,{'max_iter': 500},,2.2295138835906982,7
0.9264705882352942,0.691609977324263,0.7457212713936431,0.7176470588235294,0.0476357267950963,0.254278728606357,RF,tuned,12,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",0.944598993963208,20.616687059402462,7
0.9111519607843136,0.6313465783664459,0.6992665036674817,0.6635730858468677,0.0584938704028021,0.3007334963325183,RF,as_submitted,0,{'n_estimators': 50},,1.4955987930297852,7
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,tuned,12,"{'class_weight': None, 'C': 1.0}",0.7154583640741673,0.3933265209197998,123
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,as_submitted,0,{'max_iter': 500},,0.0639832019805908,123
0.8927696078431373,0.5808219178082191,0.5183374083129584,0.5478036175710594,0.0535901926444833,0.4816625916870415,SVM,tuned,12,"{'class_weight': None, 'C': 10.0}",0.7137058798593725,21.507485389709476,123
0.8924632352941176,0.5810055865921788,0.508557457212714,0.5423728813559322,0.052539404553415,0.491442542787286,SVM,as_submitted,0,{'max_iter': 500},,1.9260072708129885,123
0.9200367647058824,0.6796116504854369,0.684596577017115,0.682095006090134,0.0462346760070052,0.3154034229828851,RF,tuned,12,"{'n_estimators': 50, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",0.9419707555747217,22.580463647842407,123
0.9111519607843136,0.64,0.6650366748166259,0.6522781774580336,0.0535901926444833,0.334963325183374,RF,as_submitted,0,{'n_estimators': 50},,1.5341849327087402,123
0.8909313725490197,0.5759312320916905,0.491442542787286,0.5303430079155673,0.0518388791593695,0.508557457212714,LR,tuned,12,"{'class_weight': 'balanced', 'C': 0.1}",0.7158062428342488,0.4093899726867676,31
0.8881740196078431,0.5607734806629834,0.4963325183374083,0.5265888456549935,0.0556917688266199,0.5036674816625917,LR,as_submitted,0,{'max_iter': 500},,0.0642735958099365,31
0.8936887254901961,0.592814371257485,0.4841075794621027,0.5329744279946165,0.0476357267950963,0.5158924205378973,SVM,tuned,12,"{'class_weight': 'balanced', 'C': 0.1}",0.7133230618991903,15.654012203216553,31
