accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.8952205882352942,0.5835411471321695,0.5721271393643031,0.5777777777777777,0.0584938704028021,0.4278728606356968,LR,tuned,clean,0.0,"{'class_weight': None, 'C': 0.1}",,,,,,,,,,,,42
0.6859681372549019,0.2298245614035087,0.6405867970660146,0.3382827630729503,0.3075306479859895,0.3594132029339853,LR,tuned,FGSM_eps0.15,0.2285539215686274,"{'class_weight': None, 'C': 0.1}",FGSM,0.15,1.0,,,,,,,,,42
0.2205882352941176,0.1119592875318066,0.7530562347188264,0.1949367088607595,0.85569176882662,0.2469437652811736,LR,tuned,FGSM_eps0.3,0.7104779411764706,"{'class_weight': None, 'C': 0.1}",FGSM,0.3,1.0,,,,,,,,,42
0.211703431372549,0.1105111591072714,0.7506112469437652,0.1926576717916536,0.8654991243432575,0.2493887530562347,LR,tuned,FGSM_eps0.5,0.7221200980392157,"{'class_weight': None, 'C': 0.1}",FGSM,0.5,1.0,,,,,,,,,42
0.2058823529411764,0.1046722202100688,0.706601466992665,0.1823343848580441,0.8658493870402802,0.293398533007335,LR,tuned,FGSM_eps0.75,0.7279411764705882,"{'class_weight': None, 'C': 0.1}",FGSM,0.75,1.0,,,,,,,,,42
0.7141544117647058,0.2436399217221135,0.60880195599022,0.3480083857442348,0.2707530647985989,0.39119804400978,LR,tuned,PGD_eps0.15_it10,0.1963848039215686,"{'class_weight': None, 'C': 0.1}",PGD,0.15,10.0,,,,,,,,,42
0.7196691176470589,0.247,0.6039119804400978,0.3506032647267565,0.2637478108581436,0.3960880195599022,LR,tuned,PGD_eps0.15_it25,0.190563725490196,"{'class_weight': None, 'C': 0.1}",PGD,0.15,25.0,,,,,,,,,42
0.378063725490196,0.1273563218390804,0.6772616136919315,0.2143962848297213,0.6647985989492119,0.3227383863080684,LR,tuned,PGD_eps0.3_it10,0.5431985294117647,"{'class_weight': None, 'C': 0.1}",PGD,0.3,10.0,,,,,,,,,42
0.3716299019607843,0.124084249084249,0.6625916870415648,0.2090242961820285,0.6700525394045534,0.3374083129584352,LR,tuned,PGD_eps0.3_it25,0.5481004901960784,"{'class_weight': None, 'C': 0.1}",PGD,0.3,25.0,,,,,,,,,42
0.3863357843137255,0.1279178338001867,0.6699266503667481,0.2148177185417483,0.6542907180385289,0.3300733496332518,LR,tuned,PGD_eps0.5_it10,0.538296568627451,"{'class_weight': None, 'C': 0.1}",PGD,0.5,10.0,,,,,,,,,42
