model,attack,n_samples,n_eligible,asr,asr_ci_lo,asr_ci_hi,mean_l2_perturbation,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
RF,HopSkipJump_whitebox,500,499,0.9939879759519038,0.9824750004661158,0.9979533062137369,0.49143552780151367,563.0,0,0,154.95681810379028
SVM,HopSkipJump_whitebox,500,464,1.0,0.9917889730628459,0.9999999999999999,0.5328980684280396,557.0,0,0,5.176186800003052
LR,HopSkipJump_whitebox,500,461,1.0,0.9917359806278039,1.0,0.49422508478164673,556.0,0,0,5.0427281856536865
