model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,182,1.0,0.09,0.34787502884864807,228.0,0,0,0.904202938079834
LR,10,200,2000,200,182,1.0,0.09,0.3052900433540344,557.0,0,0,1.5381455421447754
LR,20,500,10000,200,182,1.0,0.09,0.28376296162605286,1437.0,0,0,2.9654505252838135
LR,40,1000,40000,200,182,1.0,0.09,0.2688819169998169,3824.0,0,0,6.091064453125
SVM,5,100,500,200,183,1.0,0.085,0.25437629222869873,227.0,0,0,0.9425339698791504
SVM,10,200,2000,200,183,1.0,0.085,0.22353576123714447,556.0,0,0,1.688413381576538
SVM,20,500,10000,200,183,1.0,0.085,0.20784004032611847,1436.0,0,0,3.1660029888153076
SVM,40,1000,40000,200,183,1.0,0.085,0.19733020663261414,3823.0,0,0,5.917191028594971
RF,5,100,500,200,200,0.9,0.1,1.8764933347702026,233.0,0,0,29.392150163650513
RF,10,200,2000,200,200,0.9,0.1,1.343302607536316,565.0,0,0,61.59192681312561
RF,20,500,10000,200,200,0.9,0.1,0.9715213179588318,1453.0,0,0,112.01411628723145
RF,40,1000,40000,200,200,0.9,0.1,0.6680104732513428,3850.0,0,0,165.2278230190277
