model,n_samples,total_s,per_sample_ms
LR,500,8.20159912109375e-05,0.000164031982421875
SVM,500,6.461143493652344e-05,0.00012922286987304688
RF,500,0.004172801971435547,0.008345603942871094
MLP,500,0.012602806091308594,0.025205612182617188
