attack,epsilon,n_features_total,n_features_frozen,n_features_perturbable,adv_accuracy,asr
FGSM_constrained,0.15,15,5,10,0.0847686512355185,0.9145916747613069
PGD_constrained,0.15,15,5,10,0.05252434314956526,0.9470965907744794
FGSM_constrained,0.3,15,5,10,0.09341609609325026,0.9059205382738279
PGD_constrained,0.3,15,5,10,0.04409012295955839,0.9555545025942335
FGSM_constrained,0.5,15,5,10,0.09270534720083394,0.9065128290175081
PGD_constrained,0.5,15,5,10,0.037101092184131344,0.9625435333696605
FGSM_constrained,0.75,15,5,10,0.09263427231159231,0.9064891373877609
PGD_constrained,0.75,15,5,10,0.036864175886659245,0.9627804496671326
