model,attack,n_samples,n_eligible,asr,asr_ci_lo,asr_ci_hi,mean_l2_perturbation,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
RF,HopSkipJump_whitebox,500,499,0.9719438877755511,0.9534616305575674,0.9832153115239957,0.6013405919075012,563.0,0,0,139.98458170890808
SVM,HopSkipJump_whitebox,500,458,1.0,0.9916822997430694,1.0,0.3705710172653198,556.0,0,0,3.4786815643310547
LR,HopSkipJump_whitebox,500,456,1.0,0.9916461233605471,1.0,0.5505995154380798,557.0,0,0,3.815375328063965
