accuracy,precision,recall,f1,fpr,fnr,model,attack,epsilon,asr,mean_l2,elapsed_s
0.14644607843137256,0.10475557033588294,0.7701711491442543,0.18442622950819673,0.942907180385289,0.22982885085574573,LR,FGSM_direct,0.15,0.8511029411764706,0.6690614819526672,0.010203838348388672
0.14644607843137256,0.10475557033588294,0.7701711491442543,0.18442622950819673,0.942907180385289,0.22982885085574573,LR,PGD_direct,0.15,0.8511029411764706,0.6690614819526672,0.07726716995239258
0.11642156862745098,0.07401032702237521,0.5256723716381418,0.12975256487628245,0.9422066549912435,0.4743276283618582,LR,FGSM_direct,0.3,0.8817401960784313,1.33811616897583,0.010086774826049805
0.11642156862745098,0.07401032702237521,0.5256723716381418,0.12975256487628245,0.9422066549912435,0.4743276283618582,LR,PGD_direct,0.3,0.8817401960784313,1.33811616897583,0.07170248031616211
0.11580882352941177,0.07307824887969666,0.5183374083129584,0.12809667673716013,0.9418563922942207,0.48166259168704156,LR,FGSM_direct,0.5,0.8826593137254902,2.230191707611084,0.009706735610961914
0.11580882352941177,0.07307824887969666,0.5183374083129584,0.12809667673716013,0.9418563922942207,0.48166259168704156,LR,PGD_direct,0.5,0.8826593137254902,2.230191707611084,0.07471394538879395
0.11611519607843138,0.07251381215469613,0.5134474327628362,0.12708018154311648,0.9408056042031524,0.48655256723716384,LR,FGSM_direct,0.75,0.8832720588235294,3.345263957977295,0.009770393371582031
0.11611519607843138,0.07251381215469613,0.5134474327628362,0.12708018154311648,0.9408056042031524,0.48655256723716384,LR,PGD_direct,0.75,0.8832720588235294,3.345263957977295,0.07319116592407227
0.1133578431372549,0.07463197535090722,0.5330073349633252,0.13093093093093094,0.9467600700525394,0.4669926650366748,SVM,FGSM_direct,0.15,0.8863357843137255,0.6708195805549622,0.011067867279052734
0.1133578431372549,0.07463197535090722,0.5330073349633252,0.13093093093093094,0.9467600700525394,0.4669926650366748,SVM,PGD_direct,0.15,0.8863357843137255,0.6708195805549622,0.08985161781311035
0.11243872549019608,0.07397260273972603,0.5281173594132029,0.12976869930910184,0.9471103327495621,0.4718826405867971,SVM,FGSM_direct,0.3,0.8875612745098039,1.341632604598999,0.012243986129760742
0.11243872549019608,0.07397260273972603,0.5281173594132029,0.12976869930910184,0.9471103327495621,0.4718826405867971,SVM,PGD_direct,0.3,0.8875612745098039,1.341632604598999,0.08695650100708008
0.11213235294117647,0.0736553614251456,0.5256723716381418,0.12920673076923078,0.9471103327495621,0.4743276283618582,SVM,FGSM_direct,0.5,0.8878676470588235,2.236043691635132,0.011138916015625
0.11213235294117647,0.0736553614251456,0.5256723716381418,0.12920673076923078,0.9471103327495621,0.4743276283618582,SVM,PGD_direct,0.5,0.8878676470588235,2.236043691635132,0.08953547477722168
0.11213235294117647,0.0736553614251456,0.5256723716381418,0.12920673076923078,0.9471103327495621,0.4743276283618582,SVM,FGSM_direct,0.75,0.8878676470588235,3.354051113128662,0.01145172119140625
0.11213235294117647,0.0736553614251456,0.5256723716381418,0.12920673076923078,0.9471103327495621,0.4743276283618582,SVM,PGD_direct,0.75,0.8878676470588235,3.354051113128662,0.08500027656555176
