accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,rf,20,clean,0.0,,,,
0.8924632352941176,0.5810055865921788,0.508557457212714,0.5423728813559322,0.052539404553415,0.491442542787286,SVM,rf,20,clean,0.0,,,,
0.9111519607843136,0.64,0.6650366748166259,0.6522781774580336,0.0535901926444833,0.334963325183374,RF,rf,20,clean,0.0,,,,
0.8881740196078431,0.5436507936507936,0.6699266503667481,0.6002190580503833,0.0805604203152364,0.3300733496332518,MLP,rf,20,clean,0.0,,,,
0.2708333333333333,0.1169840652934317,0.7359413202933985,0.2018779342723004,0.7957968476357268,0.2640586797066014,LR,rf,20,FGSM_eps0.15,0.6525735294117647,FGSM,0.15,1.0,
0.1387867647058823,0.0783005617977528,0.5452322738386308,0.1369358305188824,0.9194395796847636,0.4547677261613692,SVM,rf,20,FGSM_eps0.15,0.7977941176470589,FGSM,0.15,1.0,
0.8541666666666666,0.1546391752577319,0.0366748166259168,0.0592885375494071,0.0287215411558669,0.9633251833740832,RF,rf,20,FGSM_eps0.15,0.1044730392156862,FGSM,0.15,1.0,
0.258578431372549,0.1017821782178217,0.628361858190709,0.1751874573960463,0.7943957968476357,0.3716381418092909,MLP,rf,20,FGSM_eps0.15,0.7401960784313726,FGSM,0.15,1.0,
0.1697303921568627,0.101213171577123,0.7139364303178484,0.1772920461445051,0.908231173380035,0.2860635696821516,LR,rf,20,FGSM_eps0.3,0.7604166666666666,FGSM,0.3,1.0,
0.1200980392156862,0.057491915199425,0.39119804400978,0.100250626566416,0.918739054290718,0.60880195599022,SVM,rf,20,FGSM_eps0.3,0.8174019607843137,FGSM,0.3,1.0,
0.8265931372549019,0.0756756756756756,0.0342298288508557,0.0471380471380471,0.0598949211908931,0.9657701711491442,RF,rf,20,FGSM_eps0.3,0.1323529411764706,FGSM,0.3,1.0,
0.1363357843137254,0.0637219406227371,0.4303178484107579,0.1110059918006937,0.9057793345008756,0.5696821515892421,MLP,rf,20,FGSM_eps0.3,0.8630514705882353,FGSM,0.3,1.0,
0.152267156862745,0.0903405142460041,0.6356968215158925,0.1581989656221478,0.9169877408056042,0.3643031784841076,LR,rf,20,FGSM_eps0.5,0.7787990196078431,FGSM,0.5,1.0,
0.119485294117647,0.0568140956490471,0.3863080684596577,0.0990595611285266,0.918739054290718,0.6136919315403423,SVM,rf,20,FGSM_eps0.5,0.8180147058823529,FGSM,0.5,1.0,
0.765625,0.0572139303482587,0.0562347188264058,0.0567200986436498,0.1327495621716287,0.9437652811735942,RF,rf,20,FGSM_eps0.5,0.1948529411764706,FGSM,0.5,1.0,
0.1197916666666666,0.0545914678235719,0.3691931540342298,0.0951181102362204,0.915936952714536,0.6308068459657702,MLP,rf,20,FGSM_eps0.5,0.8802083333333334,FGSM,0.5,1.0,
0.140625,0.0793539325842696,0.5525672371638142,0.1387780165796745,0.9183887915936952,0.4474327628361858,LR,rf,20,FGSM_eps0.75,0.7904411764705882,FGSM,0.75,1.0,
0.1176470588235294,0.0544536602957086,0.3691931540342298,0.0949088623507228,0.9183887915936952,0.6308068459657702,SVM,rf,20,FGSM_eps0.75,0.8201593137254902,FGSM,0.75,1.0,
0.2824754901960784,0.0552231937413713,0.293398533007335,0.0929512006196746,0.7190893169877408,0.706601466992665,RF,rf,20,FGSM_eps0.75,0.6755514705882353,FGSM,0.75,1.0,
0.1216299019607843,0.053090909090909,0.3569682151589242,0.0924343146565368,0.9120840630472856,0.6430317848410758,MLP,rf,20,FGSM_eps0.75,0.8780637254901961,FGSM,0.75,1.0,
0.2579656862745098,0.1165714285714285,0.7481662591687042,0.2017139090309822,0.8122591943957969,0.2518337408312958,LR,rf,20,PGD_eps0.15_it10,0.6675857843137255,PGD,0.15,10.0,
0.1439950980392156,0.0837696335078534,0.58679706601467,0.1466096518020769,0.9194395796847636,0.4132029339853301,SVM,rf,20,PGD_eps0.15_it10,0.7925857843137255,PGD,0.15,10.0,
0.8618259803921569,0.3055555555555556,0.0806845965770171,0.1276595744680851,0.0262697022767075,0.9193154034229828,RF,rf,20,PGD_eps0.15_it10,0.0971200980392156,PGD,0.15,10.0,
0.220281862745098,0.091743119266055,0.58679706601467,0.1586776859504132,0.8322241681260946,0.4132029339853301,MLP,rf,20,PGD_eps0.15_it10,0.7784926470588235,PGD,0.15,10.0,
