model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,140,1.0,0.3,0.23227417469024658,228.0,0,0,0.8255600929260254
LR,10,200,2000,200,140,1.0,0.3,0.19960246980190277,557.0,0,0,1.461709976196289
LR,20,500,10000,200,140,1.0,0.3,0.1839766502380371,1437.0,0,0,2.757974624633789
LR,40,1000,40000,200,140,1.0,0.3,0.1746797114610672,3824.0,0,0,5.595305919647217
SVM,5,100,500,200,140,1.0,0.3,0.07631826400756836,228.0,0,0,0.9388320446014404
SVM,10,200,2000,200,140,1.0,0.3,0.06559744477272034,557.0,0,0,1.616760015487671
SVM,20,500,10000,200,140,1.0,0.3,0.06052156537771225,1437.0,0,0,2.8184564113616943
SVM,40,1000,40000,200,140,1.0,0.3,0.05732826143503189,3824.0,0,0,5.593313932418823
RF,5,100,500,200,158,0.8607594936708861,0.285,1.8746097087860107,232.0,0,0,25.482619762420654
RF,10,200,2000,200,158,0.8607594936708861,0.285,0.9859073162078857,563.0,0,0,43.97496676445007
RF,20,500,10000,200,158,0.8607594936708861,0.285,0.5630354881286621,1448.0,0,0,80.14292693138123
RF,40,1000,40000,200,158,0.8607594936708861,0.285,0.29312369227409363,3847.5,0,0,156.95251750946045
