accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,tuned,clean,0.0,"{'class_weight': None, 'C': 1.0}",,,,,,,,,,,
0.2708333333333333,0.11698406529343179,0.7359413202933985,0.20187793427230047,0.7957968476357268,0.26405867970660146,LR,tuned,FGSM_eps0.15,0.6525735294117647,"{'class_weight': None, 'C': 1.0}",FGSM,0.15,1.0,,,,,,,,
0.16973039215686275,0.10121317157712305,0.7139364303178484,0.17729204614450517,0.908231173380035,0.2860635696821516,LR,tuned,FGSM_eps0.3,0.7604166666666666,"{'class_weight': None, 'C': 1.0}",FGSM,0.3,1.0,,,,,,,,
0.15226715686274508,0.09034051424600417,0.6356968215158925,0.15819896562214786,0.9169877408056042,0.3643031784841076,LR,tuned,FGSM_eps0.5,0.7787990196078431,"{'class_weight': None, 'C': 1.0}",FGSM,0.5,1.0,,,,,,,,
0.140625,0.07935393258426966,0.5525672371638142,0.13877801657967453,0.9183887915936952,0.4474327628361858,LR,tuned,FGSM_eps0.75,0.7904411764705882,"{'class_weight': None, 'C': 1.0}",FGSM,0.75,1.0,,,,,,,,
0.25796568627450983,0.11657142857142858,0.7481662591687042,0.2017139090309822,0.8122591943957969,0.25183374083129584,LR,tuned,PGD_eps0.15_it10,0.6675857843137255,"{'class_weight': None, 'C': 1.0}",PGD,0.15,10.0,,,,,,,,
0.25857843137254904,0.11724400456794823,0.7530562347188264,0.2028985507246377,0.8122591943957969,0.2469437652811736,LR,tuned,PGD_eps0.15_it25,0.6675857843137255,"{'class_weight': None, 'C': 1.0}",PGD,0.15,25.0,,,,,,,,
0.19791666666666666,0.11095456146530469,0.7701711491442543,0.1939655172413793,0.8840630472854641,0.22982885085574573,LR,tuned,PGD_eps0.3_it10,0.7328431372549019,"{'class_weight': None, 'C': 1.0}",PGD,0.3,10.0,,,,,,,,
0.19944852941176472,0.11142454160789844,0.7726161369193154,0.19476117103235746,0.882661996497373,0.2273838630806846,LR,tuned,PGD_eps0.3_it25,0.7313112745098039,"{'class_weight': None, 'C': 1.0}",PGD,0.3,25.0,,,,,,,,
0.15900735294117646,0.09917638984214139,0.706601466992665,0.17393921155582306,0.9194395796847635,0.293398533007335,LR,tuned,PGD_eps0.5_it10,0.7720588235294118,"{'class_weight': None, 'C': 1.0}",PGD,0.5,10.0,,,,,,,,
0.16145833333333334,0.1,0.7114914425427873,0.17535402229587224,0.917338003502627,0.2885085574572127,LR,tuned,PGD_eps0.5_it25,0.7693014705882353,"{'class_weight': None, 'C': 1.0}",PGD,0.5,25.0,,,,,,,,
0.13143382352941177,0.07107496463932107,0.49144254278728605,0.12418906394810009,0.9201401050788091,0.508557457212714,LR,tuned,PGD_eps0.75_it10,0.7993259803921569,"{'class_weight': None, 'C': 1.0}",PGD,0.75,10.0,,,,,,,,
0.12837009803921567,0.06808510638297872,0.46943765281173594,0.11892226695571384,0.9204903677758318,0.530562347188264,LR,tuned,PGD_eps0.75_it25,0.8023897058823529,"{'class_weight': None, 'C': 1.0}",PGD,0.75,25.0,,,,,,,,
0.4053308823529412,0.1083844580777096,0.5183374083129584,0.1792811839323467,0.6108581436077057,0.48166259168704156,LR,tuned,CW_c0.0_it10,0.4960171568627451,"{'class_weight': None, 'C': 1.0}",CW,,10.0,0.0,,,,,,,
0.27849264705882354,0.1018821603927987,0.60880195599022,0.17455310199789695,0.7688266199649737,0.39119804400978,LR,tuned,CW_c0.5_it10,0.6357230392156863,"{'class_weight': None, 'C': 1.0}",CW,,10.0,0.5,,,,,,,
0.23,0.29850746268656714,0.4,0.3418803418803419,0.94,0.6,LR,tuned,HopSkipJump_direct,1.0,"{'class_weight': None, 'C': 1.0}",,,,,100.0,77.0,0.2223922163248062,556.0,0.0,0.0,0.8057208061218262
0.8878676470588235,0.556135770234987,0.5207823960880196,0.5378787878787878,0.0595446584938704,0.4792176039119804,LR,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,
0.2708333333333333,0.11698406529343179,0.7359413202933985,0.20187793427230047,0.7957968476357268,0.26405867970660146,LR,as_submitted,FGSM_eps0.15,0.6525735294117647,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,
0.16973039215686275,0.10121317157712305,0.7139364303178484,0.17729204614450517,0.908231173380035,0.2860635696821516,LR,as_submitted,FGSM_eps0.3,0.7604166666666666,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,
0.15226715686274508,0.09034051424600417,0.6356968215158925,0.15819896562214786,0.9169877408056042,0.3643031784841076,LR,as_submitted,FGSM_eps0.5,0.7787990196078431,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,
0.140625,0.07935393258426966,0.5525672371638142,0.13877801657967453,0.9183887915936952,0.4474327628361858,LR,as_submitted,FGSM_eps0.75,0.7904411764705882,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,
0.25796568627450983,0.11657142857142858,0.7481662591687042,0.2017139090309822,0.8122591943957969,0.25183374083129584,LR,as_submitted,PGD_eps0.15_it10,0.6675857843137255,{'max_iter': 500},PGD,0.15,10.0,,,,,,,,
0.25857843137254904,0.11724400456794823,0.7530562347188264,0.2028985507246377,0.8122591943957969,0.2469437652811736,LR,as_submitted,PGD_eps0.15_it25,0.6675857843137255,{'max_iter': 500},PGD,0.15,25.0,,,,,,,,
0.19791666666666666,0.11095456146530469,0.7701711491442543,0.1939655172413793,0.8840630472854641,0.22982885085574573,LR,as_submitted,PGD_eps0.3_it10,0.7328431372549019,{'max_iter': 500},PGD,0.3,10.0,,,,,,,,
0.19944852941176472,0.11142454160789844,0.7726161369193154,0.19476117103235746,0.882661996497373,0.2273838630806846,LR,as_submitted,PGD_eps0.3_it25,0.7313112745098039,{'max_iter': 500},PGD,0.3,25.0,,,,,,,,
0.15900735294117646,0.09917638984214139,0.706601466992665,0.17393921155582306,0.9194395796847635,0.293398533007335,LR,as_submitted,PGD_eps0.5_it10,0.7720588235294118,{'max_iter': 500},PGD,0.5,10.0,,,,,,,,
0.16145833333333334,0.1,0.7114914425427873,0.17535402229587224,0.917338003502627,0.2885085574572127,LR,as_submitted,PGD_eps0.5_it25,0.7693014705882353,{'max_iter': 500},PGD,0.5,25.0,,,,,,,,
0.13143382352941177,0.07107496463932107,0.49144254278728605,0.12418906394810009,0.9201401050788091,0.508557457212714,LR,as_submitted,PGD_eps0.75_it10,0.7993259803921569,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,
0.12837009803921567,0.06808510638297872,0.46943765281173594,0.11892226695571384,0.9204903677758318,0.530562347188264,LR,as_submitted,PGD_eps0.75_it25,0.8023897058823529,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,
0.4053308823529412,0.1083844580777096,0.5183374083129584,0.1792811839323467,0.6108581436077057,0.48166259168704156,LR,as_submitted,CW_c0.0_it10,0.4960171568627451,{'max_iter': 500},CW,,10.0,0.0,,,,,,,
0.27849264705882354,0.1018821603927987,0.60880195599022,0.17455310199789695,0.7688266199649737,0.39119804400978,LR,as_submitted,CW_c0.5_it10,0.6357230392156863,{'max_iter': 500},CW,,10.0,0.5,,,,,,,
0.23,0.29850746268656714,0.4,0.3418803418803419,0.94,0.6,LR,as_submitted,HopSkipJump_direct,1.0,{'max_iter': 500},,,,,100.0,77.0,0.2223922163248062,556.0,0.0,0.0,0.7938284873962402
0.8927696078431373,0.5808219178082191,0.5183374083129584,0.5478036175710594,0.053590192644483364,0.48166259168704156,SVM,tuned,clean,0.0,"{'class_weight': None, 'C': 10.0}",,,,,,,,,,,
0.1173406862745098,0.05411255411255411,0.36674816625916873,0.09430996541967934,0.9183887915936952,0.6332518337408313,SVM,tuned,FGSM_eps0.15,0.8198529411764706,"{'class_weight': None, 'C': 10.0}",FGSM,0.15,1.0,,,,,,,,
0.11672794117647059,0.053429602888086646,0.36185819070904646,0.09311104120792701,0.9183887915936952,0.6381418092909535,SVM,tuned,FGSM_eps0.3,0.8204656862745098,"{'class_weight': None, 'C': 10.0}",FGSM,0.3,1.0,,,,,,,,
0.11611519607843138,0.05339105339105339,0.36185819070904646,0.09305249921408362,0.9190893169877408,0.6381418092909535,SVM,tuned,FGSM_eps0.5,0.821078431372549,"{'class_weight': None, 'C': 10.0}",FGSM,0.5,1.0,,,,,,,,
0.11580882352941177,0.05304944063514976,0.3594132029339853,0.09245283018867924,0.9190893169877408,0.6405867970660146,SVM,tuned,FGSM_eps0.75,0.8213848039215687,"{'class_weight': None, 'C': 10.0}",FGSM,0.75,1.0,,,,,,,,
0.1173406862745098,0.05411255411255411,0.36674816625916873,0.09430996541967934,0.9183887915936952,0.6332518337408313,SVM,tuned,PGD_eps0.15_it10,0.8198529411764706,"{'class_weight': None, 'C': 10.0}",PGD,0.15,10.0,,,,,,,,
0.1173406862745098,0.05411255411255411,0.36674816625916873,0.09430996541967934,0.9183887915936952,0.6332518337408313,SVM,tuned,PGD_eps0.15_it25,0.8198529411764706,"{'class_weight': None, 'C': 10.0}",PGD,0.15,25.0,,,,,,,,
0.11672794117647059,0.053429602888086646,0.36185819070904646,0.09311104120792701,0.9183887915936952,0.6381418092909535,SVM,tuned,PGD_eps0.3_it10,0.8204656862745098,"{'class_weight': None, 'C': 10.0}",PGD,0.3,10.0,,,,,,,,
0.11672794117647059,0.053429602888086646,0.36185819070904646,0.09311104120792701,0.9183887915936952,0.6381418092909535,SVM,tuned,PGD_eps0.3_it25,0.8204656862745098,"{'class_weight': None, 'C': 10.0}",PGD,0.3,25.0,,,,,,,,
0.11611519607843138,0.05339105339105339,0.36185819070904646,0.09305249921408362,0.9190893169877408,0.6381418092909535,SVM,tuned,PGD_eps0.5_it10,0.821078431372549,"{'class_weight': None, 'C': 10.0}",PGD,0.5,10.0,,,,,,,,
0.11611519607843138,0.05339105339105339,0.36185819070904646,0.09305249921408362,0.9190893169877408,0.6381418092909535,SVM,tuned,PGD_eps0.5_it25,0.821078431372549,"{'class_weight': None, 'C': 10.0}",PGD,0.5,25.0,,,,,,,,
0.11580882352941177,0.05304944063514976,0.3594132029339853,0.09245283018867924,0.9190893169877408,0.6405867970660146,SVM,tuned,PGD_eps0.75_it10,0.8213848039215687,"{'class_weight': None, 'C': 10.0}",PGD,0.75,10.0,,,,,,,,
0.11580882352941177,0.05304944063514976,0.3594132029339853,0.09245283018867924,0.9190893169877408,0.6405867970660146,SVM,tuned,PGD_eps0.75_it25,0.8213848039215687,"{'class_weight': None, 'C': 10.0}",PGD,0.75,25.0,,,,,,,,
0.13970588235294118,0.045471769609700646,0.293398533007335,0.07874015748031496,0.8823117338003502,0.706601466992665,SVM,tuned,CW_c0.0_it10,0.7907475490196079,"{'class_weight': None, 'C': 10.0}",CW,,10.0,0.0,,,,,,,
0.11427696078431372,0.05036231884057971,0.33985330073349634,0.08772483433259703,0.9180385288966725,0.6601466992665037,SVM,tuned,CW_c0.5_it10,0.8229166666666666,"{'class_weight': None, 'C': 10.0}",CW,,10.0,0.5,,,,,,,
0.23,0.29850746268656714,0.4,0.3418803418803419,0.94,0.6,SVM,tuned,HopSkipJump_direct,1.0,"{'class_weight': None, 'C': 10.0}",,,,,100.0,77.0,0.02113942801952362,557.0,0.0,0.0,0.7846171855926514
0.8924632352941176,0.5810055865921788,0.508557457212714,0.5423728813559322,0.05253940455341506,0.49144254278728605,SVM,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,
0.13878676470588236,0.07830056179775281,0.5452322738386308,0.13693583051888242,0.9194395796847635,0.4547677261613692,SVM,as_submitted,FGSM_eps0.15,0.7977941176470589,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,
0.12009803921568628,0.05749191519942508,0.39119804400978,0.10025062656641603,0.918739054290718,0.60880195599022,SVM,as_submitted,FGSM_eps0.3,0.8174019607843137,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,
0.11948529411764706,0.0568140956490471,0.3863080684596577,0.09905956112852665,0.918739054290718,0.6136919315403423,SVM,as_submitted,FGSM_eps0.5,0.8180147058823529,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,
