model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
SVM,PGD_eps0.15_it25,228,29,0.7931034482758621,0.4166666666666667,PGD,0.15,25,Spoofing,
SVM,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
RF,PGD_eps0.15_it25,181,180,0.8277777777777777,0.8232044198895028,PGD,0.15,25,Data Alteration,
RF,PGD_eps0.15_it25,228,92,1.0,0.9912280701754386,PGD,0.15,25,Spoofing,
RF,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
MLP,PGD_eps0.15_it25,181,179,0.4245810055865922,0.425414364640884,PGD,0.15,25,Data Alteration,
MLP,PGD_eps0.15_it25,228,95,0.9789473684210527,0.40789473684210525,PGD,0.15,25,Spoofing,
MLP,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,
LR,PGD_eps0.3_it10,181,179,0.01675977653631285,0.016574585635359115,PGD,0.3,10,Data Alteration,
LR,PGD_eps0.3_it10,228,34,0.5882352941176471,0.3991228070175439,PGD,0.3,10,Spoofing,
LR,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
SVM,PGD_eps0.3_it10,181,179,0.8938547486033519,0.8895027624309392,PGD,0.3,10,Data Alteration,
SVM,PGD_eps0.3_it10,228,29,0.7931034482758621,0.4166666666666667,PGD,0.3,10,Spoofing,
SVM,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
RF,PGD_eps0.3_it10,181,180,0.9666666666666667,0.9613259668508287,PGD,0.3,10,Data Alteration,
RF,PGD_eps0.3_it10,228,92,1.0,0.9868421052631579,PGD,0.3,10,Spoofing,
RF,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
MLP,PGD_eps0.3_it10,181,179,0.8603351955307262,0.856353591160221,PGD,0.3,10,Data Alteration,
MLP,PGD_eps0.3_it10,228,95,1.0,0.4166666666666667,PGD,0.3,10,Spoofing,
MLP,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,
LR,PGD_eps0.3_it25,181,179,0.0111731843575419,0.011049723756906077,PGD,0.3,25,Data Alteration,
LR,PGD_eps0.3_it25,228,34,0.5882352941176471,0.3991228070175439,PGD,0.3,25,Spoofing,
LR,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,
SVM,PGD_eps0.3_it25,181,179,0.88268156424581,0.8784530386740331,PGD,0.3,25,Data Alteration,
SVM,PGD_eps0.3_it25,228,29,0.7931034482758621,0.4166666666666667,PGD,0.3,25,Spoofing,
SVM,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,
RF,PGD_eps0.3_it25,181,180,0.9611111111111111,0.9558011049723757,PGD,0.3,25,Data Alteration,
RF,PGD_eps0.3_it25,228,92,1.0,0.9868421052631579,PGD,0.3,25,Spoofing,
RF,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,
MLP,PGD_eps0.3_it25,181,179,0.8435754189944135,0.8397790055248618,PGD,0.3,25,Data Alteration,
MLP,PGD_eps0.3_it25,228,95,1.0,0.4166666666666667,PGD,0.3,25,Spoofing,
MLP,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,
LR,PGD_eps0.5_it10,181,179,0.1452513966480447,0.143646408839779,PGD,0.5,10,Data Alteration,
LR,PGD_eps0.5_it10,228,34,0.6764705882352942,0.41228070175438597,PGD,0.5,10,Spoofing,
LR,PGD_eps0.5_it10,2855,0,,,PGD,0.5,10,normal,
